,med_fir_a,med_rad_a,low_rad_a,upp_rad_a,med_fir_l,med_rad_l,low_rad_l,upp_rad_l,med_fir_u,med_rad_u,low_rad_u,upp_rad_u,med_mst_L,med_sfr_L,low_sfr_L,upp_sfr_L,med_mst_U,med_sfr_U,low_sfr_U,upp_sfr_U,med_mst_a,med_sfr_a,low_sfr_a,upp_sfr_a,med_q_mst_a,med_q_mst_l,med_q_mst_u,med_qir_a,low_qir_a,upp_qir_a,med_qir_u,low_qir_u,upp_qir_u,med_qir_l,low_qir_l,upp_qir_l
10,35.53050999297861,20.594674619522415,20.296429438915855,20.848754276075724,38.02985194009102,22.779732448530048,22.710674301401568,22.836944036595032,38.89114331507889,23.65827302285852,23.62723057836311,23.69056665653871,10.306671094894401,1.4853484865988724,1.238485940592422,1.681011539105203,10.553572654724128,2.3534247829982102,2.244250910306048,2.486277375851566,9.579837179183965,0.2118817710628671,-0.0054683840001118,0.5759189125956706,9.579837179183965,10.306671094894401,10.553572654724128,2.6507447026729203,2.45380452876112,2.727813022757895,2.6522301771203622,2.619457703671617,2.6759043315754276,2.6602378622048484,2.603353600749457,2.7070633910439033
11,35.746348492808806,20.76308237966594,20.51330132274617,20.974190971600613,38.067739542773026,22.81409446275513,22.74951349272237,22.873428153496196,38.920165288741316,23.684879134681253,23.643857458439278,23.714984364466414,10.41985052426655,1.4087730410004053,1.2127997315446182,1.662934503283457,10.62266381581625,2.3747636964457,2.2352629731705695,2.503694606781317,9.730290142695114,0.3640762560929033,0.13899440739887378,0.8595072245181825,9.730290142695114,10.41985052426655,10.62266381581625,2.657624860768978,2.506195884859168,2.7273461846093956,2.652330844923675,2.6231661732745737,2.675938421323592,2.676717483282758,2.6136271213982347,2.7244770086647616
12,35.96218699263902,20.92008742279129,20.708072230990805,21.121680208658667,38.10562714545502,22.850692198449387,22.789203134794487,22.91135697676267,38.949187262403754,23.713624293282063,23.678650082164605,23.74853408894637,10.533029953638703,1.3744132632141666,1.2215112292616204,1.59369147478538,10.691754976908374,2.3770223396665378,2.2356955300763497,2.5198496554896805,9.880743106206264,0.521588195111597,0.2832897384129647,1.1636648280212614,9.880743106206264,10.533029953638703,10.691754976908374,2.6632291195460027,2.5514550475297053,2.728053549060706,2.6562996296310892,2.622158786664957,2.6811629615113377,2.691507296654894,2.626120868263757,2.7364155309343863
13,36.17802549246922,21.06439410915944,20.899584391719667,21.28339811330109,38.14351474813702,22.89207815246411,22.82613356409019,22.95082597064202,38.97820923606618,23.74164236667355,23.714496657366553,23.775225079268765,10.646209383010852,1.3899309755662208,1.2509986021973947,1.5586810281336692,10.760846138000495,2.408571231106755,2.267507975182265,2.538725907819982,10.031196069717414,0.6634148290721137,0.40958889083714023,1.3772625129330724,10.031196069717414,10.646209383010852,10.760846138000495,2.6673079080011846,2.5768180325098586,2.7291583043280623,2.6602330272643915,2.6282936037012004,2.6825600312313806,2.700031926541847,2.6353160854613957,2.7489277171152438
14,36.39386399229943,21.241036558297782,21.088614117847403,21.444995754291863,38.18140235081901,22.93295068569147,22.865860926411617,22.992469987489795,39.007231209728616,23.772935061326294,23.742619433269926,23.801473057997196,10.759388812383005,1.4250965872207157,1.278647136677887,1.5664090154518873,10.82993729909262,2.405842584228134,2.251100128747699,2.550861114307572,10.181649033228563,0.8008410791829323,0.5219841293819493,1.547569848018719,10.181649033228563,10.759388812383005,10.82993729909262,2.6717161475881728,2.5929110405355686,2.7311145077233965,2.6618509532448087,2.626509137268439,2.6898547417832273,2.705610387002462,2.634345017889021,2.75870054381725
15,36.60970249212963,21.424193186804175,21.289391831597058,21.605408103003427,38.21928995350102,22.979458802907,22.912122491044475,23.036293797089446,39.03625318339104,23.801422718838417,23.774563869638005,23.83253048259586,10.872568241755154,1.4594995446803867,1.2932637837804326,1.6203227986363393,10.899028460184741,2.4091669355245338,2.2782166558124977,2.556933098918664,10.332101996739713,0.9379298557026272,0.625556586457723,1.7077533816820993,10.332101996739713,10.872568241755154,10.899028460184741,2.678324829110789,2.6085399713414814,2.7365444267066166,2.6658153579163155,2.6302343336242373,2.689668758060582,2.711237152424143,2.632179161915412,2.7686575665859405
16,36.82554099195984,21.605830484913444,21.486262931873313,21.757943085626252,38.25717755618301,23.01970150552588,22.95207277617098,23.075037815996936,39.06527515705348,23.833180651644653,23.801478637506342,23.866238502754623,10.985747671127307,1.458016415107605,1.28434818304919,1.625863474938393,10.968119621276866,2.4194118586319857,2.2720455013368563,2.585377814610311,10.482554960250862,1.0980698441171033,0.6932186705960738,1.9040533524568108,10.482554960250862,10.985747671127307,10.968119621276866,2.6830131778090127,2.617525243374612,2.745106458971991,2.666904474393311,2.6340124580182187,2.6955732894429945,2.7227085462670537,2.6340006310697217,2.788362899138428
17,37.04137949179004,21.797281397006074,21.68867145527264,21.918028497863244,38.295065158865015,23.055958871804847,22.99903666303036,23.120116132526366,39.0942971307159,23.85884672411114,23.834125750829827,23.88845288452002,11.098927100499456,1.4156803432342675,1.2476127721900534,1.618774369397815,11.037210782368987,2.393931432133861,2.2446610038711508,2.534532623223884,10.633007923762012,1.2671436978921047,0.7016335160052022,2.069906614448386,10.633007923762012,11.098927100499456,11.037210782368987,2.690358085054079,2.629010547637048,2.7633568902646686,2.6795891721896368,2.64860618913146,2.7086993745245462,2.7389835302891967,2.64289341156855,2.820320582788137
18,37.25721799162025,21.992522960009442,21.891981072424645,22.09715557144646,38.332952761547006,23.096847288852732,23.039379853315882,23.16022508371373,39.12331910437834,23.886219555386006,23.858588645088325,23.919883483450818,11.212106529871608,1.4080225925183443,1.212052180938147,1.5701448432308622,11.106301943461112,2.4141761253654073,2.2686087982991934,2.5929569686829694,10.783460887273161,1.4013132741601417,0.6297753292842179,2.167763671020834,10.783460887273161,11.212106529871608,11.106301943461112,2.701098460068799,2.636672894289431,2.792626019858204,2.688650797658692,2.637115965577962,2.7225810939488397,2.7450456522537117,2.660005329888245,2.824865506031764
19,37.47305649145045,22.198776369858237,22.099856695657056,22.30186895869078,38.37084036422901,23.146523604834343,23.09592061842934,23.214490675728104,39.15234107804076,23.9137346104069,23.88761732602205,23.945868272788086,11.325285959243757,1.3874590696029165,1.2285770530802245,1.5702776134905836,11.175393104553233,2.3914390446570213,2.260347311682237,2.5657571948241267,10.933913850784311,1.4456449597924586,0.5926990861964728,2.179886402139154,10.933913850784311,11.325285959243757,11.175393104553233,2.718652874249976,2.6484936633010654,2.8206495683925326,2.687209321265655,2.6416925723523663,2.729821258669383,2.7552776298794335,2.6778233943031613,2.8221132175784955
20,37.68889499128066,22.416770334697762,22.315988586538285,22.519525371009884,38.408727966911,23.193085513533653,23.153253415387464,23.277901204875725,39.1813630517032,23.947108574827595,23.9144476257743,23.981597211610968,11.43846538861591,1.374647792832495,1.2150584490435166,1.5189293146257536,11.244484265645358,2.388217376407635,2.223024845499319,2.583243624284614,11.08436681429546,1.3936169033010413,0.5969585572371511,2.1619222436935384,11.08436681429546,11.43846538861591,11.244484265645358,2.738170135497814,2.661401021669881,2.843398720799374,2.699683886579253,2.643830848800189,2.7355651589197865,2.770018469899302,2.683169363937785,2.836120407036212
21,37.90473349111086,22.63960202512703,22.536950542874067,22.741602443193596,38.44661556959301,23.25298980880624,23.208283384939143,23.350569913957425,39.210385025365625,23.982572481992932,23.947120830150094,24.010264780036856,11.551644817988059,1.3189094433467032,1.224609267274898,1.4921612148082959,11.31357542673748,2.4251549438098343,2.2458910217052517,2.576002362510914,11.23481977780661,1.2060515256633915,0.618892746688653,2.177948399522029,11.23481977780661,11.551644817988059,11.31357542673748,2.7553904502256223,2.674314200853934,2.859082090101052,2.7011039992703054,2.65135533725246,2.7429142316684763,2.778766403790467,2.684764923057471,2.8489630402260477
22,38.12057199094107,22.868426915547598,22.77596066227375,22.961848255395275,38.484503172275,23.301343036186527,23.264960450439045,23.382788729934475,39.23940699902806,24.00094326981871,23.973239562667143,24.036062960248007,11.664824247360212,1.3563293613692444,1.1613395231655987,1.4962890838542122,11.382666587829604,2.4071497306450276,2.300279690264897,2.5324213951678916,11.38527274131776,1.1784715452317565,0.7031170383288758,2.0942461782218253,11.38527274131776,11.664824247360212,11.382666587829604,2.773322740716843,2.6900897660201704,2.875567700063823,2.7025592402932066,2.6432927675879805,2.749019321676043,2.7555188770520616,2.684453691296637,2.8187800273515644
23,38.33641049077127,23.08474251766588,23.000772738833952,23.171029728380148,38.522390774957,23.386149724854533,23.33020773439559,23.469146712868522,39.26842897269049,24.041303435075903,24.005218291586132,24.076362113236872,11.77800367673236,1.3587241363912406,1.2344310832872916,1.6991001684690703,11.451757748921725,2.367743686317252,2.2263908253091027,2.4837145913696754,11.53572570482891,1.1352317569666157,0.7434162392018991,1.8904246264303801,11.53572570482891,11.77800367673236,11.451757748921725,2.7835933153272308,2.69339211543331,2.890860444872188,2.702806003849826,2.6513608557609336,2.7542825434034093,2.7884255974839576,2.640590498969155,2.8489252253045216
24,38.552248990601484,23.307110820228424,23.220032895588037,23.39263229346165,,,,,39.297450946352924,24.07644139581054,24.049506830521146,24.108012013473303,11.891183106104513,1.2256540035093808,1.1171679867465036,1.4405934704544223,11.52084891001385,2.4315159552462795,2.2338922921971824,2.637872840204309,11.686178668340059,1.1146476610475682,0.7792950753505241,1.6143964234147128,11.686178668340059,11.891183106104513,11.52084891001385,2.7758318138345146,2.6914898358289356,2.8882839174399986,2.7391126487997255,2.5883653025532847,2.789077865832964,2.865417030515763,2.5762188694910484,2.9305065690539385
25,38.76808749043168,23.521661395017272,23.4387680315901,23.603476435831425,,,,,39.32647292001535,24.094155813246182,24.068677195581948,24.117698354058387,,,,,,,,,11.836631631851208,1.193701456661572,0.9398119035973437,1.895067824837601,11.836631631851208,,,2.7787100900138686,2.6440996247113278,2.879234093300258,,,,,,
26,38.983925990261895,23.728872980594346,23.65890478491145,23.81064239049029,,,,,39.355494893677786,24.136505276348863,24.116825634233155,24.165101856020662,,,,,,,,,11.987084595362358,1.026069714204194,0.7051314738973581,1.307654391205215,11.987084595362358,,,2.7579758423078182,2.68549068935987,2.926997924519317,,,,,,
27,39.19976449009209,23.935970600966606,23.874503808924402,24.021154975857186,,,,,,,,,,,,,,,,,12.137537558873507,1.2656884650019296,0.8977095302622125,2.0225746775330373,12.137537558873507,,,2.71856454174614,2.6367218369184418,2.7682796952281277,,,,,,
28,39.415602989922306,24.13593878267886,24.08381527317001,24.213793929357546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
