,med_fir_a,med_rad_a,low_rad_a,upp_rad_a,med_fir_l,med_rad_l,low_rad_l,upp_rad_l,med_fir_u,med_rad_u,low_rad_u,upp_rad_u,med_mst_L,med_sfr_L,low_sfr_L,upp_sfr_L,med_mst_U,med_sfr_U,low_sfr_U,upp_sfr_U,med_mst_a,med_sfr_a,low_sfr_a,upp_sfr_a,med_q_mst_a,med_q_mst_l,med_q_mst_u,med_qir_a,low_qir_a,upp_qir_a,med_qir_u,low_qir_u,upp_qir_u,med_qir_l,low_qir_l,upp_qir_l
0,,,,,,,,,38.27048456523209,22.270373425108417,22.114751745284273,22.457312605752076,,,,,,,,,8.0752428372701,-1.147312560682988,-1.6259341708886361,-0.4381561728636291,8.0752428372701,,,2.6366335281298134,2.4022610495050087,2.7445275723672973,,,,,,
1,,,,,37.51774090990869,21.69443369030289,21.512409489028844,21.828797152405926,38.310707861376635,22.487668936001903,22.27702165094412,22.626516335086965,9.163588523864746,1.2126191902324335,1.1577514026498472,1.2635081812135565,9.744602727890015,2.0855043204949233,2.0250831568853016,2.1143916137556724,8.225697994232178,-1.206662501104882,-1.5634912720446,-0.29609490693321605,8.225697994232178,9.163588523864746,9.744602727890015,2.6353049056363425,2.42647723813049,2.729540855564116,2.6784567153147663,2.6501401933857465,2.6922303834982797,2.6725947786543447,2.6346034777213347,2.7081707268269626
2,,,,,37.56163281455715,21.81023991343712,21.562248810052143,21.991713366948105,38.35093115752118,22.678567878753967,22.500045772788308,22.776117126839747,9.28113524119059,1.2608145108974484,1.156751577028561,1.3716290992610753,9.82314960161845,2.0497401319209305,2.019977874365565,2.2065706199634643,8.376153151194252,-1.0317865963150659,-1.3899011458700214,-0.12865658387111514,8.376153151194252,9.28113524119059,9.82314960161845,2.638762663791578,2.4058334675149493,2.729128010937028,2.6721441618451536,2.659577557274587,2.6868578001163823,2.659045147250872,2.6204962356260904,2.6892108030680597
3,,,,,37.60552471920561,21.989252097725675,21.75343264523364,22.197892757976696,38.39115445366573,22.770685574423702,22.565439918193857,22.89627108443648,9.398681958516438,1.2760950185552862,1.1568759610427326,1.439191319928206,9.901696475346885,2.1081413333074135,2.0109972886762053,2.230919481569045,8.52660830815633,-0.864038505945874,-1.2097871975733443,-0.04053868271690716,8.52660830815633,9.398681958516438,9.901696475346885,2.612050333301621,2.3899779813374877,2.7119978050399665,2.6715300857602315,2.652462896916871,2.686471273026498,2.661276205540876,2.6058660651449768,2.6914979591178585
4,,,,,37.64941662385407,22.230189126461987,21.985457513422205,22.350688230901856,38.431377749810274,22.937883715546846,22.752257177812176,23.020109957015762,9.516228675842282,1.3046142838058183,1.1988294240481423,1.4842032997076327,9.98024334907532,2.113693857801562,2.0070321419972803,2.3200162353531177,8.677063465118405,-0.7246048228760003,-1.0128577367445335,-0.09870906879994444,8.677063465118405,9.516228675842282,9.98024334907532,2.6025408038273987,2.3167730301046165,2.7082740972540886,2.6687062592716675,2.6450817297852125,2.690984668152689,2.6573254016974595,2.611377504246045,2.6870774991691824
5,,,,,37.693308528502534,22.353463676716416,22.16685758231864,22.420157946150873,38.47160104595482,23.03532060244772,22.870371329341037,23.115528546503143,9.63377539316813,1.3204277688615758,1.1815871341354944,1.489065470013337,10.058790222803754,2.1114813073285106,2.0162249709851245,2.2956702645907145,8.827518622080483,-0.6030527436111284,-0.8470640186469187,-0.08453614802951073,8.827518622080483,9.63377539316813,10.058790222803754,2.6125340578099596,2.2548943689495435,2.7125883985559742,2.6634987138742865,2.642052571115353,2.682752756364218,2.6581731755581934,2.618989435450118,2.6863144626759907
6,,,,,37.737200433150996,22.419717731598567,22.26889776949395,22.480219212013075,38.511824342099366,23.15839450187735,23.009144829164295,23.215212838732562,9.751322110493973,1.3481679413410568,1.221156890221218,1.520191145132949,10.137337096532189,2.108491136371401,2.0178421094036296,2.282737147207267,8.977973779042557,-0.4467101925867153,-0.6764472411685061,-0.008825235860965897,8.977973779042557,9.751322110493973,10.137337096532189,2.597498211310196,2.2404303212646726,2.7147283479347677,2.6636570725150204,2.6407656431803157,2.6837973563916506,2.6510613059248573,2.606038371117504,2.6793628213292555
7,,,,,37.78109233779946,22.47088623517563,22.339300976903896,22.53740358427842,38.55204763824391,23.241980103245986,23.1306719984849,23.293309338490104,9.86886882781982,1.3817341149757654,1.2400281124343202,1.5308975617082787,10.215883970260624,2.1404919696148017,2.0329715780080124,2.2624040477103646,9.128428936004635,-0.297330950007758,-0.5051697747171227,0.08630869621210187,9.128428936004635,9.86886882781982,10.215883970260624,2.615907306039663,2.280608611163733,2.721615605976849,2.6601273017997826,2.6370580889647317,2.680001500363471,2.650935713223255,2.6062831754467113,2.681639500606677
8,34.26632178606678,20.17193851129514,20.09601835948704,20.436144070358115,37.82498424244792,22.517724697149045,22.39501423402147,22.588514180606804,38.59227093438846,23.313242232624315,23.221138086652243,23.356012712293584,9.986415545145665,1.420903242192771,1.238140086338395,1.574043991012493,10.294430843989058,2.150517059494872,2.039945179616746,2.2960097077853576,9.27888409296671,-0.12370627856781183,-0.34498268671629945,0.23046169363177196,9.27888409296671,9.986415545145665,10.294430843989058,2.6325031904382215,2.332159791859141,2.7269640008896516,2.6617254123358123,2.638244427382931,2.684878790443241,2.6518066285638895,2.608992805022619,2.689137422686072
9,34.52088173739706,20.067268961467278,19.53900270507236,20.464541899647884,37.86887614709638,22.566618657254757,22.45887306065504,22.64020328775157,38.632494230533005,23.370050123626076,23.288575845346983,23.405001218862978,10.103962262471512,1.4340694563067446,1.181057374403238,1.6126971911053174,10.372977717717493,2.1797736273758326,2.0468678291611364,2.313053276840774,9.429339249928788,0.0525624776219952,-0.1707957987017063,0.41047169433351677,9.429339249928788,10.103962262471512,10.372977717717493,2.6456451301826647,2.415954830205574,2.733751592972667,2.6609841182561595,2.6362735813664373,2.682304391656741,2.657977928682433,2.608321014920367,2.707188037202427
