,med_fir_a,med_rad_a,low_rad_a,upp_rad_a,med_fir_l,med_rad_l,low_rad_l,upp_rad_l,med_fir_u,med_rad_u,low_rad_u,upp_rad_u,med_mst_L,med_sfr_L,low_sfr_L,upp_sfr_L,med_mst_U,med_sfr_U,low_sfr_U,upp_sfr_U,med_mst_a,med_sfr_a,low_sfr_a,upp_sfr_a,med_q_mst_a,med_q_mst_l,med_q_mst_u,med_qir_a,low_qir_a,upp_qir_a,med_qir_u,low_qir_u,upp_qir_u,med_qir_l,low_qir_l,upp_qir_l
32,37.47305649145045,22.198073145673753,22.121245560080997,22.284869921603686,38.37084036422891,23.149094899924698,23.096489559277195,23.218951702011587,39.15234107804076,23.913810618947693,23.887182425750122,23.947465944939374,11.32528595924377,1.3839571572350367,1.2341951402406623,1.5751179156631858,11.175393104553233,2.3685455492080596,2.2509849981426444,2.5657571948241267,10.933913850784311,1.462205815073697,0.5956771085744017,2.186986848732529,10.933913850784311,11.32528595924377,11.175393104553233,2.718490533387179,2.6485945977741605,2.8206000032998464,2.690497932221424,2.6343007713564393,2.729033712486065,2.7498296531995905,2.661810156689393,2.8124764699716573
33,37.60255959134858,22.328696921590385,22.24913294952374,22.415034079802655,38.393572925838114,23.180090955198587,23.139361844173976,23.25250968136892,39.16975426223823,23.92961374987778,23.90740496691267,23.958055465802072,11.39319361686706,1.376564656914324,1.217520692799223,1.499851837911131,11.216847801208509,2.3948574366462014,2.2319189463506923,2.5576985478329415,11.024185628891,1.4357019124086023,0.610452740504862,2.1558887228809716,11.024185628891,11.39319361686706,11.216847801208509,2.729852895269431,2.6593345324581255,2.8339056993433593,2.695608364702615,2.6515344185177434,2.7345743353110255,2.77290781337776,2.690215713994996,2.83547232433611
34,37.732062691246696,22.46242199667435,22.38227680709814,22.548196114353757,38.4163054874473,23.20297710164933,23.158291782257855,23.283882594041177,39.18716744643568,23.95290062177381,23.925944531256366,23.984245480644358,11.461101274490352,1.3748345716055628,1.2276137406443777,1.528396142024888,11.258302497863781,2.3787819196108524,2.2110968373426108,2.631810411118831,11.11445740699769,1.3677753502351084,0.5827222788710164,2.1770047529714893,11.11445740699769,11.461101274490352,11.258302497863781,2.7421879858511815,2.662566529784454,2.84826667626524,2.6962852152102776,2.641358804934436,2.7380857210440284,2.769768770165687,2.683739316568038,2.8399028157185633
35,37.86156579114483,22.596399420939395,22.514941757719143,22.681708725653912,38.43903804905651,23.235587802750537,23.203531210845767,23.331315781122658,39.204580630633146,23.96855502584836,23.940374471693843,24.00083592473799,11.529008932113642,1.3191401517640586,1.2272698503791424,1.521805104631341,11.299757194519056,2.4379677420430994,2.2964521000078877,2.5834990953281385,11.20472918510438,1.2053635196518901,0.6095607774792121,2.171277830332441,11.20472918510438,11.529008932113642,11.299757194519056,2.75227497868109,2.6734197611807056,2.8566681868870285,2.6943073566765037,2.6489799902960125,2.7375284651718736,2.78300742117848,2.6735911760075233,2.846245965756042
36,37.99106889104294,22.734968755510664,22.65309822988189,22.81543683162466,38.461770610665695,23.283588766067982,23.23704092683176,23.359162619013095,39.2219938148306,24.001402393139834,23.96298907057163,24.029151264096676,11.596916589736933,1.3556298658205304,1.2372885190130025,1.4925108033287398,11.341211891174328,2.4167608903571685,2.248955169468171,2.5387072541967344,11.29500096321107,1.2054599701068338,0.6474179032092097,2.1752525118777997,11.29500096321107,11.596916589736933,11.341211891174328,2.762769986958917,2.6799506581830337,2.862065502353026,2.712537231435208,2.656026166222585,2.748921349598742,2.77068235867932,2.7161677125030037,2.845978416624078
37,38.12057199094107,22.870684828672033,22.796886665850092,22.941483699641445,38.4845031722749,23.30291470702545,23.276736763008568,23.410116590618923,39.23940699902806,23.999895263871394,23.977792074254264,24.0270455230628,11.664824247360224,1.3617179677241622,1.156055903204341,1.4810123498988905,11.382666587829604,2.3704938270992297,2.3006842960554064,2.4446994504162065,11.38527274131776,1.1574544300683631,0.6980846307007152,2.0989372835437714,11.38527274131776,11.664824247360224,11.382666587829604,2.7763047115618207,2.6880596825022582,2.877803548750066,2.7024088085545017,2.661102539018083,2.7513931414993267,2.757573746819002,2.6871098541000786,2.8417292159069145
38,38.25007509083919,23.00414229881237,22.93676433908173,23.06956411124751,38.50723573388409,23.330757614899014,23.30783261529594,23.385867709276965,39.256820183225514,24.01816223301883,23.988631580202714,24.057837024035354,11.732731904983515,1.3004229303693546,1.1887918301298428,1.423804717958283,11.424121284484876,2.4251093796561034,2.275762897674914,2.5742194636327578,11.47554451942445,1.145912018916449,0.7373643948714441,1.9392527881554529,11.47554451942445,11.732731904983515,11.424121284484876,2.783777828284732,2.6944829683089986,2.895165474551863,2.6852712150481395,2.5800974055326393,2.7320635410034595,2.7853671989186584,2.6823583648305123,2.8537044305202084
39,38.37957819073732,23.130252790228305,23.066328134550446,23.19435993051794,38.52996829549329,23.406978296685235,23.348171719031924,23.472679010448424,39.27423336742298,24.048285725082653,24.012149603336468,24.085911181388706,11.800639562606806,1.4316689502620878,1.3585950735151502,1.730581362689615,11.465575981140152,2.3352147580095655,2.1666828629176753,2.4837145913696754,11.56581629753114,1.138677807050378,0.7481633469512015,1.8873991772302006,11.56581629753114,11.800639562606806,11.465575981140152,2.781952884748657,2.6966544341300396,2.8873629174144693,2.726531195367185,2.6853783714806645,2.762689172274376,2.715972240314205,2.5822517035279446,2.8360797807226428
40,38.509081290635436,23.26001672900523,23.19530814577367,23.32173893466529,,,,,39.29164655162043,24.071942870439123,24.04714142864327,24.115343606655205,,,,,,,,,11.656088075637829,1.1192146307416357,0.7705437346285935,1.6508521956173448,11.656088075637829,,,2.772433087941792,2.68825616195711,2.8788567955618163,,,,,,
41,38.638584390533566,23.396471337868427,23.334977221529204,23.451936325822974,,,,,39.3090597358179,24.078851082035953,24.053394576761402,24.106721842806387,,,,,,,,,11.746359853744519,1.1729964177986725,0.8704937866930575,1.8673968435690995,11.746359853744519,,,2.7834615489219345,2.672058745754525,2.8861564915562803,,,,,,
42,38.76808749043168,23.528099345843383,23.466994199143173,23.58372035002779,,,,,39.32647292001535,24.09754229272522,24.07299687355735,24.11794413518428,,,,,,,,,11.836631631851208,1.119552157831713,0.885266975738517,1.3898296925679245,11.836631631851208,,,2.766971677544536,2.639163310855297,2.8928654452370943,,,,,,
