,xmf,flux_8p4GHz_med_bres,flux_8p4GHz_upp_bres,flux_8p4GHz_low_bres,flux_8p4GHz_med_dale,flux_8p4GHz_upp_dale,flux_8p4GHz_low_dale,flux_5GHz_med_bres,flux_5GHz_upp_bres,flux_5GHz_low_bres,flux_5GHz_med_dale,flux_5GHz_upp_dale,flux_5GHz_low_dale,flux_3GHz_med_bres,flux_3GHz_upp_bres,flux_3GHz_low_bres,flux_3GHz_med_dale,flux_3GHz_upp_dale,flux_3GHz_low_dale,flux_1p4GHz_med_bres,flux_1p4GHz_upp_bres,flux_1p4GHz_low_bres,flux_1p4GHz_med_dale,flux_1p4GHz_upp_dale,flux_1p4GHz_low_dale,flux_610MHz_med_bres,flux_610MHz_upp_bres,flux_610MHz_low_bres,flux_610MHz_med_dale,flux_610MHz_upp_dale,flux_610MHz_low_dale,flux_325MHz_med_bres,flux_325MHz_upp_bres,flux_325MHz_low_bres,flux_325MHz_med_dale,flux_325MHz_upp_dale,flux_325MHz_low_dale,flux_150MHz_med_bres,flux_150MHz_upp_bres,flux_150MHz_low_bres,flux_150MHz_med_dale,flux_150MHz_upp_dale,flux_150MHz_low_dale
0,-5.875,17.774614066348004,17.77474255411687,17.774486091083592,17.355430406969,17.355696119122953,17.355280410447747,17.764864579056393,17.764993606999525,17.76473898582058,17.28879817869354,17.289015089970206,17.288559869368584,17.692975275436098,17.693110520172148,17.69284056898203,17.217990970714123,17.218265260105927,17.217767460187186,17.42473023575967,17.42488730705923,17.424530461936122,17.160490343953825,17.160787050430855,17.16025274749148,,,,17.0845180572872,17.084742016908155,17.084227765427336,,,,17.00290268695855,17.003196544410027,17.00268370863774,,,,16.85111080326039,16.851552448358415,16.850753383018812
1,-5.625,17.48032497969636,17.480431183845646,17.480189951693493,17.26079804465553,17.26096705667066,17.260607317834157,17.516175087349545,17.51627839262003,17.516068828012262,17.192327200414745,17.19247316632344,17.192106991841655,17.524906871736427,17.52501487995944,17.524793800429617,17.085204806232998,17.085381565202848,17.084966782739407,17.436317275314302,17.436444645050926,17.43617946412521,16.99134723058212,16.991613735089675,16.991118427257536,17.08122910856328,17.08140033133345,17.081075981462675,16.911372029239626,16.911649082641674,16.911111852694997,,,,16.850663056910435,16.850879374445917,16.850327889954883,,,,16.741898485473133,16.74218488385982,16.74151580778388
2,-5.375,17.153814744757646,17.153937278118555,17.153692685352738,17.10841477820912,17.108551894265815,17.108235866194068,17.209810542032525,17.209923024649072,17.209668776141783,17.073435891642323,17.07357044897991,17.073283791527114,17.25221290886482,17.252333795903187,17.25208948226539,16.994400896261155,16.994577058275368,16.994203572091234,17.273830943216726,17.27394470751147,17.273712239765338,16.874723913126964,16.874922485747152,16.874492303438487,17.160311362195774,17.160450426288115,17.1601789034147,16.74300373322158,16.743227246975728,16.742792014234325,16.91676951649044,16.916940730513744,16.916614769120372,16.675098642085587,16.67533428366157,16.674895976590275,,,,16.593133264468943,16.593358525539163,16.592828036305335
3,-5.125,16.80178468769919,16.801938956401504,16.801587674543224,16.88646438541037,16.886635901068665,16.886326879435785,16.875029111455767,16.87516526281469,16.87483563798452,16.882438684113872,16.882588277495618,16.882314344547382,16.936443692386177,16.9365655577949,16.936321082333876,16.852099136517023,16.852250744167687,16.851958185766936,17.003929130484522,17.004035652387202,17.003820054075593,16.779209186703216,16.779345413955287,16.779019531026005,17.019546381227432,17.019663843219632,17.019402829218496,16.627470161259758,16.62770440501715,16.627301007590273,16.933900117075634,16.934018771960268,16.93376847711515,16.513423087729414,16.51362707233871,16.51316573979532,16.61885762874835,16.619041730010707,16.618634949783498,16.4187889882438,16.418986508150233,16.418462135560528
4,-4.875,16.43676713319204,16.436994101854264,16.436583578931266,16.605497798024803,16.605628042750585,16.60534365707811,16.518033081636908,16.51819010428695,16.517850978136124,16.625973615314013,16.626121372632895,16.625868905855015,16.594069337667083,16.59420683377232,16.593883695197267,16.63756303612848,16.63769709370694,16.63740045064584,16.68953002367203,16.6896726094011,16.68938846902561,16.61824349874937,16.618393756271523,16.618083860901972,16.760337200623677,16.760485857200898,16.76019879334233,16.53206358565857,16.532218090600082,16.531929660147448,16.77307712529379,16.773178467689654,16.77294335764736,16.41008713650596,16.410248825710898,16.409889527671456,16.670654444188553,16.670795772965818,16.670502532422013,16.25365296524893,16.253888898423217,16.253456254175067
5,-4.625,16.07151935570639,16.07172243632883,16.071322207998872,16.287084727942094,16.287284136179746,16.28692134387555,16.15174476803957,16.151913053319554,16.15159506634866,16.320841390866214,16.321016191631863,16.320691749155046,16.232508957083862,16.232698440754824,16.232320381637322,16.36076149981873,16.36091166007063,16.3606226158716,16.34805004240717,16.348201184366097,16.347886167912858,16.385992040981243,16.386131461669127,16.38587532495827,16.450316566107386,16.450435560809385,16.450203968328296,16.36967627969561,16.36983832508578,16.369547503470038,16.504250816443804,16.50435738258771,16.50413530921004,16.305512738451455,16.305650364950747,16.305340196370278,16.520966506087046,16.521098497023264,16.520856931058425,16.145060636754554,16.145254202391307,16.14491042134318
6,-4.375,15.71192526755697,15.712141773011938,15.71168437772934,15.949864423501605,15.950015277213536,15.949701613531893,15.787290170110769,15.787517127848325,15.787138622498384,15.991178358047938,15.991414693178937,15.991048429149457,15.866331372075226,15.866559078282176,15.866140493137433,16.04528222898492,16.04541740819519,16.045092674492526,15.987318381618753,15.987455959681423,15.987130470322635,16.09606872561341,16.096214853862712,16.095913426494853,16.11226064751834,16.112436152108355,16.112118637278638,16.13565069148611,16.1357956083919,16.135542868043377,16.190372869681266,16.19053888721962,16.19024544353451,16.1284131473357,16.128547044280587,16.128272844954783,16.25764198272551,16.257739811819608,16.25753246576612,16.04574927588925,16.045909260412188,16.045593266501363
7,-4.125,15.358618972584642,15.358882041150276,15.358309774304203,15.600719547023004,15.600944006797302,15.600472524038333,15.430965156863506,15.431293686035549,15.43073798897726,15.647603876754989,15.647734750390429,15.647429182102101,15.503446604277611,15.50366942115312,15.50324911412626,15.71072728007648,15.710875342402609,15.710538267462574,15.621043638786519,15.621268747403807,15.620836217643605,15.774864316899137,15.774986199382276,15.774718172717101,15.753912087320739,15.754121152354793,15.753760076952812,15.844376641862695,15.84452864849584,15.844256174787809,15.84936178883909,15.849519124528703,15.84918811677721,15.88102322803307,15.881159384878032,15.880901897227034,15.94598563716387,15.94612129717349,15.945853102193585,15.875166697894954,15.875302446386762,15.875022254442712
8,-3.875,14.993405875790273,14.99367113160732,14.993154534332668,15.247247159410813,15.247514395795507,15.247071767502963,15.07578866381259,15.07608336405307,15.075440297346525,15.294149288892005,15.294338112395346,15.293950199244794,15.149829188538172,15.150071832071243,15.14954471366295,15.362966417550096,15.36318415126272,15.362763963148256,15.258002462765903,15.2582459398204,15.257807478619945,15.437202326184085,15.437336694604692,15.436987969716386,15.387628762836798,15.387858426718688,15.387437436462255,15.522956671532823,15.523116571392652,15.52278320169203,15.489013890000985,15.489176763322924,15.488862245242627,15.581806636278364,15.581948265748352,15.581622840433447,15.606872672840984,15.60701802542466,15.60671103514259,15.633294829970222,15.633422565543777,15.633144771045568
9,-3.625,14.607442062093158,14.607689789306587,14.607158106473415,14.906245758647241,14.906442788741092,14.905928748349291,14.705891811228177,14.706213475335268,14.70557702244513,14.945175425034952,14.945405220210823,14.94495028891904,14.790715809059375,14.791070155351385,14.790453908141217,15.008968571763024,15.009227035329568,15.008751190905736,14.904072600949144,14.904313018061577,14.90378739655227,15.086214692859988,15.086472898041928,15.086007324180883,15.023916843802615,15.024131301022209,15.023709565492346,15.185299444997831,15.185454450323933,15.185144549855204,15.122873589775239,15.1231092536392,15.122671548299294,15.256851900294611,15.257001990795294,15.256689727883614,15.247722264517176,15.247880201995416,15.247562806654487,15.337141883680124,15.337306098765627,15.337030964006994
