,mid_rad,med_fir,low_fir,upp_fir,mid_mst,med_sfr,low_sfr,upp_sfr,mid_mst_a,med_sfr_a,low_sfr_a,upp_sfr_a,med_qir,low_qir,upp_qir
0,3.860134277625414e+19,1.9338049236000012e+33,9.69097251030703e+30,5.9155842763613045e+34,114637026.50748235,0.022476509197282543,0.016657926699183135,0.040545889135244394,114637026.50748235,0.022476509197282543,0.013577756795781569,0.9171236584925868,0.9320096354330829,-1.2486533401513167,2.644981336317479
1,5.328217070853956e+19,2.3542775205179082e+33,1.382395960796494e+31,8.980371682807955e+34,150469500.73147202,0.030263670933135697,0.02207345957784878,0.04967302007708624,150469500.73147202,0.030263670933135697,0.017562861056432292,0.7828456727555378,0.9108325731625406,-1.1804869642793199,2.6252193258410235
2,7.354639790303809e+19,1.763506250357194e+33,1.6171248431250031e+31,1.1949286356479965e+35,197502249.84159613,0.03823930515421639,0.02947713759022942,0.06610126004733272,197502249.84159613,0.03823930515421639,0.022467433505175875,1.5295398317069806,0.6371648878745546,-1.2128241037941507,2.60536195246396
3,1.0151749774047943e+20,4.07556130171127e+33,2.748699188358458e+31,1.5907290401433225e+35,259236180.7733012,0.052756620494226386,0.037479635918776455,0.08500558086521486,259236180.7733012,0.052756620494226386,0.029641130432213388,0.6215494686366503,0.4998963329863173,-1.2905996342104329,2.603869155473648
4,1.4012654108601192e+20,1.2296165959433148e+33,2.862470279917086e+31,2.144993428272578e+35,340266490.5125245,0.0701745133992508,0.050698377831799084,0.12055901249997525,340266490.5125245,0.0701745133992508,0.03834194667983954,1.264785939764188,0.4403326356014414,-1.328004351339173,2.632935446149279
5,1.93419341037405e+20,2.127566799599985e+33,3.723279443321435e+31,3.185564741279666e+35,446624711.9531482,0.09483585344982472,0.0667387890339111,0.14875745802908635,446624711.9531482,0.09483585344982472,0.05038890383345026,1.8875498062165272,0.4024966575508504,-1.295837630126503,2.6251484467865396
6,2.669804106873693e+20,4.6369649907008203e+33,5.316272243974338e+31,4.234783198927078e+35,586227674.1585002,0.12172253675507491,0.09049283828734626,0.19378371055925495,586227674.1585002,0.12172253675507491,0.06464175108391257,1.2635144718872156,0.7631547179759721,-1.187943476338916,2.6290857026010284
7,3.685181601203571e+20,2.9134220571968634e+33,9.019227090559e+31,5.416601646405634e+35,769466795.6155,0.17953379559284915,0.12808697144863118,0.3108783660418278,769466795.6155,0.17953379559284915,0.08683453343789849,2.145123559223963,0.35589396864165934,-1.270768191883076,2.598343858485437
8,5.086726550043398e+20,7.190752536000002e+33,8.023555338429561e+31,7.533198732508399e+35,1009981574.8287301,0.24200846259689243,0.17291392216885174,0.3763061515014241,1009981574.8287301,0.24200846259689243,0.1131450936934425,4.867463056147183,0.7474505428728051,-1.2311397748954023,2.6330784331993695
9,7.021305812029933e+20,8.147302363200032e+33,1.2305343466281447e+32,1.0389882345093134e+36,1325674853.425701,0.32242464722167924,0.23642645917050623,0.5339296946205427,1325674853.425701,0.32242464722167924,0.15189909034225144,4.272642853156833,0.46697294357614005,-1.386723734523711,2.6189599675077204
