,mid_mst,med_qir,low_qir,upp_qir
0,8.066648792000876,1.344602914312679,0.11854894615391615,2.735910912918959
1,8.199944894494134,1.4723185960859304,0.379836981241416,2.730922401828241
2,8.333240996987389,1.6992297735907549,0.6467559546675805,2.725929061928465
3,8.466537099480647,1.939825902991096,0.8982437683732901,2.720966425675693
4,8.599833201973901,2.128599571150847,1.15358775393912,2.7230760710946016
5,8.733129304467159,2.244666747214465,1.3817842089625105,2.7237412289059444
6,8.866425406960413,2.349724498437279,1.5972698775315899,2.732909255435488
7,8.999721509453671,2.4351029251117176,1.8298366066695195,2.7446962729888766
8,9.133017611946926,2.5079391102248785,2.027307934892744,2.754045279094499
9,9.266313714440184,2.5525558789612113,2.1831119326597537,2.758455636695274
10,9.399609816933438,2.5829726156705703,2.251810752286639,2.760935783060576
11,9.532905919426696,2.6044716489629227,2.299762654291707,2.758989268201805
12,9.66620202191995,2.6262213217667654,2.340723015425311,2.7580821024585354
13,9.799498124413208,2.6349559878260624,2.3683486046691193,2.7614725447132056
14,9.932794226906463,2.6484308366608964,2.392780590346298,2.7609534928950588
15,10.06609032939972,2.6594095391039865,2.40948490621346,2.771666040346851
16,10.199386431892975,2.6727563107645445,2.4443396198070837,2.818119281581039
17,10.332682534386233,2.6891542209698436,2.482797577449255,2.9891704309480716
18,10.465978636879488,2.7188013320634834,2.5117485999494242,3.092393442965649
19,10.599274739372746,2.756543580796709,2.536538568622249,3.1476250638592798
20,10.732570841866,2.8036037198287893,2.559056831067413,3.1862330268941195
21,10.865866944359258,2.834219611158524,2.590502439440536,3.1791588868828278
22,10.999163046852512,2.847389294420445,2.6143151569476366,3.1804445097806227
23,11.13245914934577,2.84221443412331,2.636128891707434,3.125517208861557
24,11.265755251839025,2.8406127267000674,2.658786760472713,3.1259039838690703
25,11.399051354332283,2.833408335599888,2.6503373211841907,3.0614772926366673
26,11.532347456825537,2.8294662199740905,2.666450942727554,3.072174670144622
27,11.665643559318795,2.854098618228438,2.6792480385312185,3.058833553496659
28,11.79893966181205,2.8179134039670117,2.692012320684099,3.033447032060791
