,xmf,upp_noerr_1,low_noerr_1,med_noerr_1,upp_err_1,low_err_1,med_err_1,upp_noerr_2,low_noerr_2,med_noerr_2,upp_err_2,low_err_2,med_err_2,upp_noerr_3,low_noerr_3,med_noerr_3,upp_err_3,low_err_3,med_err_3,upp_noerr_4,low_noerr_4,med_noerr_4,upp_err_4,low_err_4,med_err_4
77,19.375,0.02117055748567944,0.021059038967848758,0.021116885385116798,0.023454902351310463,0.023342357804794107,0.023393926546551123,0.037452023482316105,0.037311468352680885,0.03737734749452754,0.04158604426111931,0.0414398675743168,0.0415044803807593,0.051773564083429535,0.051636837660837175,0.051710698225828175,0.05460045131744044,0.05446800721457302,0.054527349473661745,0.05490506303376378,0.05475696389321337,0.05483239050198777,0.052281145874382866,0.05214122256241198,0.05220609457610139
78,19.625,0.014819202314721603,0.014729673211670182,0.014764350281170435,0.016544966363570376,0.01644830906122902,0.016497258729762078,0.026579089497221542,0.026465178712507944,0.02652628412089074,0.02912109716657989,0.028999096955702415,0.02906320754810404,0.03572953732511051,0.03561898543430475,0.035680552555596094,0.0389088492121971,0.03879893453920665,0.038850778688663504,0.04024869147145846,0.04013023375962204,0.04019089365554921,0.04122012463075154,0.04108297699638295,0.04114719289172862
79,19.875,0.010987341583698065,0.01090628531752991,0.01095231620445978,0.012033766639611879,0.011954449222058391,0.011993195305319984,0.01877884141816825,0.018682324519752297,0.01872860111355163,0.02060940079688106,0.02050953580485923,0.020564449940146636,0.02410400049877296,0.02399263858532062,0.024044847244968432,0.027018564584050102,0.02690725667210753,0.026949453451843568,0.027551289477953392,0.027427258810308476,0.02748751099483687,0.029444420406039312,0.02932338682218676,0.02939086170864719
80,20.125,0.008437071683344555,0.00837966267830567,0.008411815177224072,0.009125574732487868,0.009069558966401107,0.009099321898512085,0.013533275162816862,0.013447148154881093,0.013493964763778149,0.014782076276753178,0.014697326307316601,0.014735121964006202,0.017000911910879477,0.01690826152056322,0.01695154643072117,0.018696418913802856,0.018597315343068816,0.018651176448915664,0.01743981998185543,0.0173499128682356,0.01739820641842493,0.019888383438703874,0.019779122183981673,0.01982489926381561
81,20.375,0.006764002307731545,0.00670081514114703,0.0067337182610512645,0.007313640474495505,0.007253590795628759,0.007277918475781159,0.009949022154401065,0.009876989540515855,0.009913462160216036,0.010761150859866,0.010688675433600657,0.010722269772829977,0.011857997125454168,0.01178200620090265,0.011819512949514971,0.013004373575805448,0.012912549408588707,0.012957662269852448,0.011477637491373295,0.011388761806590117,0.011436102230131964,0.013058823298108813,0.012979171071194737,0.013020034013639402
82,20.625,0.005910189836873408,0.005855092096452776,0.005877389319837741,0.006195609416623681,0.0061418509136454014,0.006168794966946269,0.007432243990408308,0.00737145449085768,0.007403809495437727,0.007939517972755933,0.007874008741251212,0.007912908728815655,0.008309487716356626,0.008249114028431245,0.008278363946199387,0.009022221242934747,0.008959887300204635,0.008985311211005412,0.007505464637508508,0.007441672654014543,0.007475631503434825,0.008493762468303467,0.008412879006966583,0.008450966271808955
83,20.875,0.005503671871458854,0.005451587415283514,0.00547717063053812,0.005438735055957718,0.005396484274711905,0.005415203898074458,0.005548606527740346,0.005502381235375296,0.005525569483671503,0.005906863343871437,0.005857889374658979,0.005882654467040535,0.005664704373599716,0.005622615596883221,0.0056435627825238786,0.006177567512208771,0.00611606519272915,0.006142199223383433,0.00477217822038585,0.004726163533908912,0.004749837795793068,0.005439604480265051,0.005390279501239073,0.005415001392412812
84,21.125,0.005052278651423556,0.005001193223179003,0.005027068046586379,0.004605675365305058,0.004559147664485283,0.00458142058719085,0.00417470011611465,0.004132276530037567,0.004152581097711934,0.004384377178258359,0.004340760158815309,0.004361364434868913,0.0036235229063221806,0.0035825303602540623,0.003603453245215322,0.004105999395382387,0.004064925847049611,0.0040866992557897835,0.0029078678980653788,0.0028741223546086972,0.0028918483501914395,0.0034311965292682964,0.003387331102880294,0.0034060777269977324
85,21.375,0.00369950843072272,0.003654670977158817,0.0036795278721069857,0.003467771751837044,0.0034268494077316297,0.003449953953687689,0.0030362078861901187,0.002996862386170054,0.003018481890607376,0.0031828489859766756,0.0031437410925996088,0.0031664460273833532,0.002316005950810493,0.0022782804960835962,0.0022979667464710714,0.0026709362739396124,0.002636715517196935,0.0026533641826597208,0.0017711307172084462,0.0017395722348975406,0.0017530240109818092,0.0021195538584100086,0.0020939841435328463,0.0021050463528096927
86,21.625,0.0018297061548584103,0.001803034809181894,0.001815193249107117,0.002202084365794945,0.0021678744093542217,0.0021811884815885712,0.0021051300551498398,0.0020692730526610625,0.002087563364020925,0.0022010097357504773,0.0021681930182618782,0.0021811884815885712,0.0014990117093150786,0.0014737552031945953,0.0014882141074361165,0.001725164632090303,0.0016956474068487888,0.0017088102748557758,0.0011198995101099438,0.0010986175151086984,0.001110271040917551,0.0013121232842952606,0.0012885678257326034,0.0013014363855113314
87,21.875,0.0007717247758533334,0.0007554595211099305,0.0007631763368563856,0.001178852958328314,0.0011508855764172635,0.001163530029930437,0.001230310996990295,0.0012047358819621554,0.0012171940302666145,0.0014126524948872895,0.0013852737294327564,0.0014014741823644328,0.0009904254902799866,0.0009682956715753167,0.0009805324136897095,0.0011069391477646028,0.0010814504351520987,0.0010987957200909468,0.0007148179848553318,0.0006973646968969391,0.0007057322308361499,0.000817107644665936,0.0007990657402510259,0.0008077950843057108
88,22.125,0.00034634948322630817,0.00033184467770148063,0.0003388594738208965,0.0005606220738516365,0.0005446754280158898,0.0005543254978121916,0.0006687168959627582,0.0006496381625602206,0.000658413407898212,0.0008388864535570863,0.0008178096642929754,0.0008285181636808135,0.0005951830401058793,0.0005804946294478261,0.0005877389319837741,0.0006875958237791383,0.0006674370601811557,0.0006763689098974866,0.0004298520177871452,0.00041486659882534457,0.0004205367573514313,0.0004921049582526,0.00047656872389112247,0.0004853385690781366
89,22.375,0.0001820066885364063,0.000172561824477239,0.00017773246903793235,0.0002592288475107301,0.00024782372864683,0.0002528620695085813,0.00036822009468407123,0.0003546549154292809,0.00036201262113575057,0.000465898025560125,0.0004504859946711236,0.0004580003047559328,0.00032983582153795274,0.00031737227308251646,0.00032387405485909587,0.0004028728635049269,0.0003870342206887247,0.00039414351945024195,0.00021890592016378775,0.0002092558503674859,0.00021404848435977345,0.0002765093306378515,0.00026631924574382714,0.00027108757905671717
