,xmf,flux_8p4GHz_med_bres,flux_8p4GHz_upp_bres,flux_8p4GHz_low_bres,flux_8p4GHz_med_agn,flux_8p4GHz_upp_agn,flux_8p4GHz_low_agn,flux_8p4GHz_med_tot,flux_8p4GHz_upp_tot,flux_8p4GHz_low_tot,flux_8p4GHz_med_dale,flux_8p4GHz_upp_dale,flux_8p4GHz_low_dale,flux_5GHz_med_bres,flux_5GHz_upp_bres,flux_5GHz_low_bres,flux_5GHz_med_agn,flux_5GHz_upp_agn,flux_5GHz_low_agn,flux_5GHz_med_tot,flux_5GHz_upp_tot,flux_5GHz_low_tot,flux_5GHz_med_dale,flux_5GHz_upp_dale,flux_5GHz_low_dale,flux_3GHz_med_bres,flux_3GHz_upp_bres,flux_3GHz_low_bres,flux_3GHz_med_agn,flux_3GHz_upp_agn,flux_3GHz_low_agn,flux_3GHz_med_tot,flux_3GHz_upp_tot,flux_3GHz_low_tot,flux_3GHz_med_dale,flux_3GHz_upp_dale,flux_3GHz_low_dale,flux_1p4GHz_med_bres,flux_1p4GHz_upp_bres,flux_1p4GHz_low_bres,flux_1p4GHz_med_agn,flux_1p4GHz_upp_agn,flux_1p4GHz_low_agn,flux_1p4GHz_med_tot,flux_1p4GHz_upp_tot,flux_1p4GHz_low_tot,flux_1p4GHz_med_dale,flux_1p4GHz_upp_dale,flux_1p4GHz_low_dale,flux_610MHz_med_bres,flux_610MHz_upp_bres,flux_610MHz_low_bres,flux_610MHz_med_agn,flux_610MHz_upp_agn,flux_610MHz_low_agn,flux_610MHz_med_tot,flux_610MHz_upp_tot,flux_610MHz_low_tot,flux_610MHz_med_dale,flux_610MHz_upp_dale,flux_610MHz_low_dale,flux_325MHz_med_bres,flux_325MHz_upp_bres,flux_325MHz_low_bres,flux_325MHz_med_agn,flux_325MHz_upp_agn,flux_325MHz_low_agn,flux_325MHz_med_tot,flux_325MHz_upp_tot,flux_325MHz_low_tot,flux_325MHz_med_dale,flux_325MHz_upp_dale,flux_325MHz_low_dale,flux_150MHz_med_bres,flux_150MHz_upp_bres,flux_150MHz_low_bres,flux_150MHz_med_agn,flux_150MHz_upp_agn,flux_150MHz_low_agn,flux_150MHz_med_tot,flux_150MHz_upp_tot,flux_150MHz_low_tot,flux_150MHz_med_dale,flux_150MHz_upp_dale,flux_150MHz_low_dale
0,-5.875,17.7761556893594,17.77626222724188,17.775976117130266,16.58050585790197,16.580867848283734,16.58014387036431,17.7713962322081,17.771491531284063,17.77122790461847,17.42990608200358,17.430146004623502,17.42982143313603,17.76629421529504,17.766337624217243,17.76621639995491,16.682931094822614,16.68328591250703,16.682685746340034,17.749920849827085,17.750041536231077,17.749833580059676,17.384377341500816,17.384656214760152,17.384292313926654,17.694445085862284,17.6944886447933,17.694407356767567,16.76406057156249,16.764232529236615,16.763678732150336,17.662986295937415,17.663034599348716,17.66286690016938,17.329876747568626,17.32995915108781,17.32961701521955,17.426077619799894,17.426294898727942,17.4258896768329,16.817084133270733,16.817530037325934,16.816759204752515,17.37478648933977,17.374945392250574,17.37465975037294,17.278420911621453,17.27882380800561,17.278291831790703,16.976615572863203,16.97687122042357,16.976351848422105,16.840131572549105,16.84052442130733,16.840027484031715,16.92320016903394,16.923475287828982,16.923026329060782,17.20386158217108,17.20420338684977,17.20371740529152,16.68724898249443,16.6874748643299,16.686932570286015,16.87304710047928,16.873480682823832,16.87285943242236,16.64656401162506,16.646907845857683,16.64634020645908,17.124817622365356,17.124930520046153,17.124538768817224,16.495022374107652,16.49531613501255,16.49465224511917,16.945870768348716,16.946219735887887,16.945463274795074,16.47235267812688,16.472916568325566,16.47157316770275,16.988384665594477,16.988624971552714,16.98829536387654
1,-5.625,17.481660526902974,17.481748173368203,17.48150526463459,16.252957626578873,16.253414295345703,16.25214945232655,17.48555203751481,17.48566551540445,17.485373135354916,17.287494365574783,17.28757084281438,17.287343810917495,17.517593378470842,17.517775840409758,17.517515985335592,16.36645451400136,16.366873232335013,16.366228663580085,17.51440509191473,17.51446958979599,17.514231480170324,17.23830526285142,17.238543256586517,17.2382224811834,17.526341300645733,17.52640095433066,17.526287487602847,16.462426727293852,16.463233663057594,16.462002685919465,17.511064480357106,17.51112766613398,17.510952080665437,17.167366399425994,17.167626191078238,17.16724365675291,17.437736270246937,17.4378688032198,17.43765502516274,16.55168538013445,16.55191342569704,16.55148993050635,17.39716922740888,17.397321160765966,17.397121145969727,17.09944533793535,17.09970705828565,17.099224633565367,17.125096144159208,17.125194606825723,17.124969137014485,16.578965323629962,16.579145923192947,16.578789019307937,17.063262160376148,17.063333423540513,17.063102649297555,17.029282737352446,17.029478951030626,17.029063261529448,16.777655935112254,16.777960902357442,16.777467019057553,16.603653064316898,16.603924892070726,16.60345903722786,16.715003995837538,16.715308447545617,16.714737376942665,16.969512688320332,16.969676527800317,16.969364871244313,16.41898043032187,16.41949860763923,16.4186536305276,16.656487492861665,16.65692305443416,16.65607988223724,16.37598658140599,16.376430637010383,16.375408131700514,16.864184997886678,16.864220861979735,16.864037135847823
2,-5.375,17.15531404874671,17.155403870521464,17.155095523143224,15.92578320113589,15.926649917125722,15.925389606667297,17.16547777215024,17.16567961680328,17.165318650074674,17.118178462137177,17.11831437753708,17.11806094769542,17.21115929093825,17.211323293508354,17.21109699319551,16.044324278675454,16.044809140801508,16.043986155405324,17.216977405044307,17.217217228244547,17.21685709657097,17.08792623343778,17.08805528821453,17.087860860689254,17.253519621947216,17.253712581386935,17.25347441247472,16.150387343191383,16.151050672129614,16.15020479131833,17.25228957087133,17.252359046521637,17.252190663149523,17.025334446357366,17.025553817762507,17.025223100517575,17.275241840234848,17.275314208642314,17.27510262396959,16.273887633970403,16.274138817464774,16.27322361688157,17.25305343807239,17.253074133489942,17.252874872696967,16.944070951403603,16.944314283497967,16.944009402440123,17.161881903511535,17.161895446022545,17.161761197525916,16.318763431209785,16.319089868026836,16.31855137236476,17.108761786354016,17.108822928493797,17.108652506171406,16.850951640434147,16.85101945150288,16.850829260945222,16.92177332079503,16.921914639195517,16.921664063761913,16.33911936746825,16.339477385367854,16.33844195944406,16.851751298336342,16.85184031764631,16.85133356060779,16.79259727064765,16.792735764848594,16.79227621777638,16.49850655058117,16.49876320826508,16.498267219537425,16.37919470977671,16.3793482925569,16.37868716687505,16.428506864186925,16.428800097726295,16.427868569309876,16.71221976486989,16.712357927121506,16.71207105965325
3,-5.125,16.803038732788963,16.803190978705942,16.80295878359679,15.59214137013186,15.59290752018759,15.591168296750695,16.8189518823982,16.819204487199958,16.81870030939615,16.89244423002885,16.892542212958507,16.892351109421504,16.87641653701559,16.87668129845611,16.876360730796,15.717764351420852,15.718179772400289,15.716968725463301,16.889759481794954,16.88986795142626,16.889667297515206,16.889717074938794,16.889812239886982,16.88958459493669,16.937896744706045,16.937992848344972,16.93781754573002,15.832807783376076,15.83306067768853,15.832351721995595,16.946233034797054,16.946386410420942,16.946155283343277,16.862933781239636,16.863077290890853,16.862870523683565,17.005340893104606,17.005469559256927,17.00525034211043,15.976959049788459,15.97763240011347,15.976651994919226,17.00015058265395,17.00021391763981,17.000084108978466,16.801740175312304,16.8018905741402,16.80159343003491,17.021001116748085,17.02110470284897,17.02089320001422,16.0604286930643,16.060696669025855,16.060175194323534,16.987291425311017,16.987430489825382,16.987201691649776,16.696198327711024,16.696353874104805,16.696136481232617,16.93541147348616,16.935502877130393,16.93525266628558,16.076949855020008,16.077264374779343,16.07667928508225,16.876664447506013,16.87674212211664,16.876559417849347,16.617093692411235,16.617175090546652,16.61689600342308,16.645362883192437,16.64557866924177,16.645054557448198,16.10953853767763,16.10975957020403,16.109379962649214,16.56475929741189,16.56483247247878,16.564689442725594,16.536383826483597,16.536521479223097,16.53614116831184
4,-4.875,16.438017531709644,16.4383092240171,16.437913015858083,15.256303698998895,15.257456125180346,15.255550715342995,16.458646525646202,16.458731747564705,16.458502132671907,16.61011514598606,16.610270081716003,16.609957826023862,16.519335194876717,16.519461354420976,16.519214399942804,15.385751023392238,15.38662554907775,15.385087294585206,16.53911899117831,16.53932779663029,16.538972778776685,16.631245067182398,16.63130622031165,16.631087607785382,16.59532743812113,16.595583473824092,16.59514636971194,15.506166573164176,15.506702945418539,15.505583667706162,16.61218333823889,16.61230916931385,16.612131371591303,16.643998415318507,16.644130862458073,16.643924163757564,16.691113002170706,16.691173270258695,16.690917934966922,15.666904438878188,15.667331560371666,15.666624252135671,16.69882351707803,16.698922997383786,16.698760413077707,16.62735088410587,16.627501767193205,16.627263069808045,16.761769340183225,16.76190540627874,16.76170443331455,15.788839627700638,15.789207917299809,15.78843030112166,16.748281433094192,16.748382060132414,16.748189544641797,16.554174040072617,16.554276281249034,16.553947936312714,16.774463807426184,16.774716117788707,16.774354003658615,15.81809462055082,15.81832997737514,15.817867834999811,16.73666047123657,16.736861357212067,16.73663847907876,16.467484705605877,16.467686202024534,16.467390193410207,16.672103061118275,16.67224211433117,16.67196080726287,15.842181931907557,15.842583897332677,15.8416435507622,16.60195817311314,16.602018446088273,16.60183511316811,16.359790399880062,16.359957638436164,16.359594808976627
5,-4.625,16.072960189116955,16.073196595123175,16.072583007365626,14.916273051477651,14.91694263389847,14.915587259775364,16.097087645695403,16.097238342212254,16.097020280218395,16.290899862795804,16.29101088069837,16.290822644501716,16.15296225011235,16.15317286231672,16.152854410739227,15.05392682771013,15.054287143309269,15.052970332723174,16.178393524425342,16.17855954580366,16.178316534349666,16.324983992771216,16.325203756764186,16.32490877145338,16.233967311635915,16.234151540501344,16.2338529522838,15.178612235218948,15.179305564615882,15.178377348598774,16.258390608046927,16.25847180423645,16.258311317788532,16.365578788110774,16.36572734645724,16.365507315517775,16.349348370401334,16.349577043751896,16.349258165866747,15.350536247380763,15.350904412887926,15.35014855750217,16.367987418083263,16.368211120338223,16.367904920197713,16.391941270929244,16.392083831025516,16.391861638077152,16.451767958124133,16.451877942164202,16.45165931724813,15.500246721299657,15.5006470765037,15.499819341317393,16.45525110461799,16.455366989951997,16.4551430840595,16.378727580489493,16.378827446820992,16.37871043964781,16.50568705670254,16.50575070075547,16.505639286169707,15.558279685463027,15.558671648645188,15.558047046049083,16.48907076056694,16.489174230299447,16.488934397656884,16.323024244755818,16.323218256381818,16.32291285333926,16.522378902207244,16.522458684134637,16.522312910054517,15.580429727318256,15.580533594007962,15.580116735302365,16.474114362936334,16.474218796047232,16.47400464643602,16.207998793383332,16.208171409032257,16.207873197240193
6,-4.375,15.713264356646292,15.713577578658768,15.713048984843361,14.563818226826168,14.565760237910796,14.563032642549517,15.73950311790205,15.739645139586466,15.739337349121419,15.952824728998845,15.95312853801825,15.952625054413316,15.788540416257586,15.789055660907335,15.78832647327097,14.713991378563465,14.714492009935624,14.713675613941648,15.817875155302122,15.817922347725363,15.81781342152533,15.9945157147306,15.994650009011314,15.994424331780065,15.867565661480715,15.867734081954543,15.867477095201993,14.846160836834057,14.846272991877681,14.84512299284456,15.898179808608047,15.898327036631754,15.897995606286317,16.04913803778353,16.04928086954398,16.048995906789997,15.98862843107245,15.988792794203553,15.988505452360954,15.025785653438954,15.026324198029075,15.02566862657585,16.017291358127462,16.01739545939293,16.017167701326425,16.10069642089356,16.1008749314133,16.100567974182113,16.113736978705177,16.11383329086131,16.113551455997033,15.196042155739272,15.196330270150494,15.195641464772299,16.13215934860009,16.132262668981532,16.132012136761254,16.141738496811584,16.141901083944397,16.141606730217998,16.191882974224892,16.192039717384507,16.191702097341796,15.283938556929291,15.284485670138102,15.283770183847853,16.19418688237458,16.194403832432517,16.194128299083662,16.136679275158894,16.136817727313108,16.13655546633197,16.259081534856623,16.259206647195207,16.258999681049012,15.31977148624031,15.3205370392961,15.31962858952122,16.23352178863991,16.23365614216749,16.2334152177257,16.064976723968922,16.065083926267903,16.06489432147859
7,-4.125,15.35994867582262,15.360200124240434,15.359861139130322,14.198546406954975,14.199852630078741,14.197679016046386,15.386723537304466,15.386939774386223,15.386446754978389,15.603290111002975,15.603493312951905,15.603154737996222,15.432519924007618,15.432975962608811,15.432333358980811,14.370714243823734,14.37178297279304,14.369747527217484,15.464204690834743,15.464403257351954,15.464059785619522,15.650514833826058,15.650760693255657,15.650410555817656,15.505010655921415,15.505216585912626,15.504745544872813,14.509687777018463,14.510257618391655,14.50895293630195,15.540365992066375,15.540513327863687,15.540211633694277,15.713818551024502,15.714082789008568,15.713640469414885,15.622330578872408,15.622394602152083,15.622264963713544,14.699906607841386,14.700342129398281,14.69933050190861,15.659218345129464,15.659340406824414,15.65909964249795,15.778549645303281,15.778783397170093,15.778464049383928,15.755283380411555,15.755394156308995,15.75512572209242,14.881188693451941,14.881498807970948,14.880915195363427,15.787124307266575,15.78726126419236,15.786995314107747,15.849035449636025,15.849094367808927,15.848907268466645,15.85066810404366,15.85074900356604,15.850512679199797,14.993580174010512,14.993900130395204,14.992846494233504,15.871120540771724,15.871268943046164,15.870928811984147,15.886832707502988,15.886923107147071,15.886730743049892,15.947489132584536,15.947682491997266,15.947409444602968,15.062164581038767,15.062579561357188,15.061974186754467,15.94247331832817,15.942562326278557,15.942351019330003,15.88390546177978,15.883981772505056,15.883810494231396
8,-3.875,14.994713285202444,14.995138305089926,14.994229945915695,13.817648296400984,13.819435020163285,13.81680678482559,15.021511388849534,15.021774352510553,15.021289329841505,15.249866008796852,15.249965340950178,15.249402790970652,15.077358988019252,15.077507791872932,15.077139898682189,14.011423554492458,14.012734621965519,14.010429208933337,15.1102092200359,15.110518120360144,15.110028306471936,15.296893472442116,15.296968984030118,15.296803407974624,15.151424695897886,15.151511679845527,15.15103351806069,14.1696484386207,14.17070116843839,14.169100221028216,15.189542674645844,15.189631071324765,15.189202271366822,15.365894360491167,15.366055689008249,15.365858704279095,15.259331545184478,15.259426987100637,15.259209686966882,14.365950883140815,14.366258004787523,14.365040468064503,15.302596770051572,15.302801179671153,15.302317969090986,15.44046459997476,15.440638793912324,15.440378960082308,15.388966573617033,15.389168779014382,15.388693131705223,14.560352368770918,14.56119066692069,14.559629025963897,15.432290402960426,15.43243779739957,15.432148883721673,15.52674842642881,15.526859574343383,15.526631615647352,15.490409124766757,15.490543125818343,15.490205499059307,14.687760310499957,14.688086541452584,14.687041254070545,15.527184895937777,15.527354163342139,15.527083466850476,15.58641916850447,15.586513626232374,15.586189533863392,15.608194488830003,15.608287229916431,15.608027373930208,14.792530586056325,14.792911572549645,14.792119611159064,15.624532588598242,15.624716788072726,15.624431835165462,15.639216100558002,15.639279834796165,15.639017748169524
9,-3.625,14.608878735200246,14.609228603785812,14.608320947604785,13.418299038903998,13.419979372022453,13.417458141982875,14.635474910228908,14.635972463909182,14.635367972544572,14.908575550049672,14.90873763824661,14.908265579115534,14.707050232353263,14.707440662799788,14.70668101247867,13.638727185452813,13.639717923443033,13.637213812970325,14.741267114223662,14.741513047089555,14.74089691528383,14.947544646592569,14.947823818483513,14.94715037262699,14.792042790685448,14.792394720559429,14.7916872579132,13.819481806341678,13.82030003031363,13.818161679422508,14.832829047178127,14.833170988280179,14.832285534884873,15.011551132324305,15.011858591131933,15.011365501467113,14.905654057530603,14.905803115337559,14.905588388097074,14.032665549608863,14.033018183278559,14.032141939156284,14.953426754942319,14.953700174945281,14.953280295091178,15.08910626022808,15.089212771192424,15.088927450318588,15.025175365296517,15.025353906333226,15.025089914258327,14.234432514762789,14.234906163590445,14.233819262485676,15.077858676585883,15.07800619159803,15.077682860755143,15.188446539699418,15.188627716575127,15.188286824794355,15.124220952563693,15.124373541085518,15.124080096729433,14.371251175993947,14.371661638261466,14.371077869256068,15.174978272059546,15.175053570839127,15.174735974436151,15.260679439262383,15.260783465550599,15.260420061559326,15.2491100746222,15.249256673455424,15.248948889492404,14.506832562767897,14.507617266186669,14.506561587071555,15.287058252340838,15.287148102809942,15.286980231478188,15.34183573110895,15.34197820891697,15.341775526801383
