,mid_rad,med_fir,low_fir,upp_fir,mid_mst,med_sfr,low_sfr,upp_sfr,med_qir,low_qir,upp_qir
20,3.23699021223331e+19,4.706524085003532e+33,1.2315103718202416e+31,4.7416060247255115e+34,9461429.716597734,0.002975552940530777,0.0008399593223947208,0.146025744091388,2.3272553766710793,-1.3604456319428344,2.6462005883064905
21,1.1308189989447647e+20,1.8863951435664245e+34,7.885457395931462e+32,1.6402435037244243e+35,35986348.880113214,0.008300389961954561,0.002954037980693254,0.5534208979696036,2.309098633338735,-0.6905788415889796,2.6497830629562333
22,3.950433966534012e+20,2.7459073297919837e+35,3.3743518389846444e+34,7.012794611897033e+35,136873320.89456245,0.03029259833537362,0.01038938438755325,2.047014554332191,1.3577342045423926,0.28754792753172326,2.6275591988443368
23,1.3800553880424916e+21,1.6538369193983926e+36,6.5204394225270356e+35,3.148713221667789e+36,520594796.5190419,0.11654055101371981,0.03634024796513531,6.760143290231738,2.171151401169304,1.3548341601968188,2.6361030469151325
24,4.821123173300726e+21,6.844905573580853e+36,3.8380794957715754e+36,1.1467281446362082e+37,1980071356.4294798,0.4930421003421308,0.12766608259460713,20.885207709170764,2.5351494854386942,2.214648783405063,2.7012099478181835
25,1.6842243328440403e+22,2.124958063717357e+37,1.4329885168675449e+37,3.334068541029971e+37,7531159747.980801,1.6211574998948681,0.4629998797180007,86.68847735756188,2.6355849310391424,2.3987434893094943,2.723165096570471
26,5.883715270028966e+22,7.354694555449626e+37,5.061315449424248e+37,1.1713299124976786e+38,28644607662.969593,4.097717624743041,1.5747911762628453,420.2402386859835,2.6604508901149195,2.510542111452035,2.7290448088311394
27,2.055433157191959e+23,2.468204070510287e+38,1.763203564662798e+38,4.089304654042174e+38,108949162628.69647,15.415230528976599,5.61203832173426,651.5190639105667,2.664436461504435,2.546057887368902,2.7425635818059715
28,7.180506312405859e+23,8.35997987871136e+38,5.6289166672967754e+38,1.3807133577313872e+39,414385848015.6137,58.38912580700236,20.66041263941814,1216.0473566058022,2.66777984144583,2.5590900402325394,2.752788198866021
29,2.5084576806641607e+24,2.5648888799035494e+39,2.3850274125256134e+39,3.994480669605444e+39,1576107855191.4436,318.33880716344356,107.63751200523056,1993.8224859997435,2.7285077623153278,2.6382049868601176,2.782354497407118
