,zbins_flux_8p4GHz,zlow_flux_8p4GHz,zupp_flux_8p4GHz,zmed_flux_8p4GHz,zbins_flux_5GHz,zlow_flux_5GHz,zupp_flux_5GHz,zmed_flux_5GHz,zbins_flux_3GHz,zlow_flux_3GHz,zupp_flux_3GHz,zmed_flux_3GHz,zbins_flux_1p4GHz,zlow_flux_1p4GHz,zupp_flux_1p4GHz,zmed_flux_1p4GHz,zbins_flux_610MHz,zlow_flux_610MHz,zupp_flux_610MHz,zmed_flux_610MHz,zbins_flux_325MHz,zlow_flux_325MHz,zupp_flux_325MHz,zmed_flux_325MHz,zbins_flux_150MHz,zlow_flux_150MHz,zupp_flux_150MHz,zmed_flux_150MHz
14,3.375,-inf,-inf,-inf,3.375,-inf,-inf,-inf,3.375,-inf,-inf,-inf,3.375,-inf,-inf,-inf,3.375,3.296287490691906,3.4723787497475875,3.3931975036999624,3.375,4.222501276530988,4.3047812046810385,4.2682587670916625,3.375,5.017397065426317,5.043018966924528,5.033430417354931
15,3.625,-inf,-inf,-inf,3.625,-inf,-inf,-inf,3.625,-inf,-inf,-inf,3.625,-inf,-inf,-inf,3.625,3.092167508035981,3.296287490691906,3.206110860342818,3.625,3.8164433776367703,3.925697089794625,3.8915080574895633,3.625,4.697127567975331,4.733958795462635,4.7164496038716495
16,3.875,-inf,-inf,-inf,3.875,-inf,-inf,-inf,3.875,-inf,-inf,-inf,3.875,-inf,-inf,-inf,3.875,-inf,-inf,-inf,3.875,2.7911375123720004,3.092167508035981,2.937265548050238,3.875,4.2475035455010435,4.323024984930654,4.288067160445215
17,4.125,-inf,-inf,-inf,4.125,-inf,-inf,-inf,4.125,-inf,-inf,-inf,4.125,-inf,-inf,-inf,4.125,-inf,-inf,-inf,4.125,2.7911375123720004,3.1335601931942065,2.995257495027925,4.125,3.7240169701957995,3.8325301975302253,3.773408745411569
18,4.375,-inf,-inf,-inf,4.375,-inf,-inf,-inf,4.375,-inf,-inf,-inf,4.375,-inf,-inf,-inf,4.375,-inf,-inf,-inf,4.375,-inf,-inf,-inf,4.375,2.98648357072042,3.206110860342818,3.1335601931942065
19,4.625,-inf,-inf,-inf,4.625,-inf,-inf,-inf,4.625,-inf,-inf,-inf,4.625,-inf,-inf,-inf,4.625,-inf,-inf,-inf,4.625,-inf,-inf,-inf,4.625,2.092167508035981,2.6942274993639437,2.5692887627556438
20,4.875,-inf,-inf,-inf,4.875,-inf,-inf,-inf,4.875,-inf,-inf,-inf,4.875,-inf,-inf,-inf,4.875,-inf,-inf,-inf,4.875,-inf,-inf,-inf,4.875,2.7911375123720004,3.0464100174753064,2.870318758419625
21,5.125,-inf,-inf,-inf,5.125,-inf,-inf,-inf,5.125,-inf,-inf,-inf,5.125,-inf,-inf,-inf,5.125,-inf,-inf,-inf,5.125,-inf,-inf,-inf,5.125,-inf,-inf,-inf
22,5.375,-inf,-inf,-inf,5.375,-inf,-inf,-inf,5.375,-inf,-inf,-inf,5.375,-inf,-inf,-inf,5.375,-inf,-inf,-inf,5.375,-inf,-inf,-inf,5.375,-inf,-inf,-inf
23,5.625,-inf,-inf,-inf,5.625,-inf,-inf,-inf,5.625,-inf,-inf,-inf,5.625,-inf,-inf,-inf,5.625,-inf,-inf,-inf,5.625,-inf,-inf,-inf,5.625,-inf,-inf,-inf
24,5.875,-inf,-inf,-inf,5.875,-inf,-inf,-inf,5.875,-inf,-inf,-inf,5.875,-inf,-inf,-inf,5.875,-inf,-inf,-inf,5.875,-inf,-inf,-inf,5.875,-inf,-inf,-inf
25,6.125,-inf,-inf,-inf,6.125,-inf,-inf,-inf,6.125,-inf,-inf,-inf,6.125,-inf,-inf,-inf,6.125,-inf,-inf,-inf,6.125,-inf,-inf,-inf,6.125,-inf,-inf,-inf
26,6.375,-inf,-inf,-inf,6.375,-inf,-inf,-inf,6.375,-inf,-inf,-inf,6.375,-inf,-inf,-inf,6.375,-inf,-inf,-inf,6.375,-inf,-inf,-inf,6.375,-inf,-inf,-inf
27,6.625,-inf,-inf,-inf,6.625,-inf,-inf,-inf,6.625,-inf,-inf,-inf,6.625,-inf,-inf,-inf,6.625,-inf,-inf,-inf,6.625,-inf,-inf,-inf,6.625,-inf,-inf,-inf
28,6.875,-inf,-inf,-inf,6.875,-inf,-inf,-inf,6.875,-inf,-inf,-inf,6.875,-inf,-inf,-inf,6.875,-inf,-inf,-inf,6.875,-inf,-inf,-inf,6.875,-inf,-inf,-inf
