,mid_rad,med_fir,low_fir,upp_fir,mid_mst,med_sfr,low_sfr,upp_sfr,med_qir,low_qir,upp_qir
1,3.152065368710525e+20,3.663839435519983e+35,1.3690493498808992e+35,5.8089682680703445e+35,905684680.8147672,0.21917060245760703,0.10301382239679317,6.760143290231738,2.4482132668215435,2.0463907412863467,2.67542331675531
2,4.340185542006558e+20,4.4790353710079884e+35,1.7286554408385857e+35,7.797555123073886e+35,1152444793.0757184,0.28611269418091545,0.12951085246324082,8.160109434625396,2.483811380524248,2.1389442765808906,2.6858271268754303
3,5.976148440966137e+20,6.578819174399973e+35,2.77412806391852e+35,1.0885745999397024e+36,1466436420.1153784,0.3692345986466773,0.1619836008528329,11.722919655936252,2.515869055094244,2.212340591133028,2.69466893062074
4,8.228761153826273e+20,9.816727523328027e+35,4.5920694858507045e+35,1.5355484078379767e+36,1865977257.3587391,0.47511225663196494,0.20179032295545365,13.177763448730403,2.5469157344096587,2.2507191742116164,2.704845278502238
5,1.1330459876557807e+21,1.4552083814399625e+36,7.168763023759123e+35,2.1609864459654793e+36,2374375784.1926208,0.5980830083628285,0.2561020058602741,15.115451863405385,2.570829159132611,2.284327806525581,2.7093856038357083
6,1.560129387819107e+21,2.1749145200639955e+36,1.123721642237321e+36,3.039107726221651e+36,3021291037.8877254,0.7498773124701553,0.3208909477852746,19.196088432271047,2.591958765245586,2.317753462520202,2.7142754245887613
7,2.1481949834822348e+21,3.1949328284660726e+36,1.729768170349818e+36,4.2732652691368937e+36,3844462867.416205,0.9372102553195357,0.41009476725894944,31.779737789668435,2.6135364271301533,2.3439765981906584,2.7201282977006622
8,2.957922415338353e+21,4.6195656240006534e+36,2.670941435934927e+36,5.97185092204692e+36,4891913606.997284,1.1583176538908542,0.5114040788103736,26.686345845863624,2.6238464694669528,2.3679793213715126,2.720852587766211
9,4.0728635354032935e+21,6.608816386867197e+36,4.048321532836859e+36,8.269850638096298e+36,6224749610.96681,1.4163093810015306,0.6334044466576204,43.513457631787524,2.6310589370724635,2.3933248594364516,2.7227500040363943
10,5.608063717966149e+21,9.30207145644416e+36,6.10573339851074e+36,1.1459849307814035e+37,7920726086.373963,1.7186721004181635,0.7880199459779587,54.485066221842466,2.642742507266135,2.4368069535512435,2.7258307319698143
11,7.721932834573624e+21,1.2875445943141994e+37,8.831409946832515e+36,1.5691917945264342e+37,10078783189.099434,2.0573818465939953,0.995147009329759,80.03071519876342,2.6508216113870926,2.4616096199821498,2.724723026002401
12,1.0632590801463176e+22,1.7609531056127953e+37,1.23296630214914e+37,2.153276856413678e+37,12824818011.018454,2.472764485268633,1.2363283983798936,86.68847735756188,2.6569790301908984,2.48928872467203,2.72867731045893
