,sbins_0,med_sfr0,low_sfr0,upp_sfr0,sbins_1,med_sfr1,low_sfr1,upp_sfr1,sbins_2,med_sfr2,low_sfr2,upp_sfr2,sbins_3,med_sfr3,low_sfr3,upp_sfr3,sbins_5,med_sfr5,low_sfr5,upp_sfr5,sbins_6,med_sfr6,low_sfr6,upp_sfr6,sbins_7,med_sfr7,low_sfr7,upp_sfr7,sbins_8,med_sfr8,low_sfr8,upp_sfr8
12,0.0,-2.2130911629441616,-2.215324656503609,-2.211181726218732,0.0,-2.2649043898310883,-2.2666301662111876,-2.262793974296527,0.0,-2.2071606913151594,-2.209168832817645,-2.205538850642546,0.0,-2.176978983814912,-2.17849299860468,-2.174833463599102,0.0,-2.392185537940836,-2.3949862772441888,-2.38984852163647,0.0,-2.5841530397438155,-2.5879654547536792,-2.5811106629623892,0.0,-2.83204833251865,-2.8365521526820143,-2.828379864291632,0.0,-3.0750963380911003,-3.0805784676140133,-3.0700626866533622
13,0.25,-2.30466863436448,-2.3066512284033402,-2.3022357404581535,0.25,-2.286693505595147,-2.288115379901438,-2.2846452611279644,0.25,-2.329205731762176,-2.331265875092961,-2.326938680997651,0.25,-2.3539590316827903,-2.3564540745638887,-2.3520634137083776,0.25,-2.6083317322330366,-2.6115620518586797,-2.6049779071970374,0.25,-2.7828495126190327,-2.787840327610961,-2.778579723639544,0.25,-3.0308679443992674,-3.036575857790908,-3.0271596783981916,0.25,-3.2928521935169495,-3.299419467867371,-3.2856441807734607
14,0.5,-2.56576716762076,-2.5686562326626987,-2.5633972360185635,0.5,-2.3443176898972173,-2.346518665034671,-2.3416825576072036,0.5,-2.4542633511632883,-2.4566468598959905,-2.451510631415436,0.5,-2.54639167351327,-2.5491438964431983,-2.5435100158690895,0.5,-2.819216327900082,-2.8229435870725634,-2.8149981436248583,0.5,-2.9716698140752236,-2.9762807590998372,-2.967733928632949,0.5,-3.206943466151959,-3.2143542653373407,-3.2012532615133256,0.5,-3.462518227154303,-3.47101976480747,-3.451850366705981
15,0.75,-2.952437505341541,-2.9570409717977495,-2.947291992561072,0.75,-2.5358341465787304,-2.539574079789768,-2.5335867987401115,0.75,-2.592297045298846,-2.5955886529949477,-2.589054778658557,0.75,-2.73893445278291,-2.7431655186454873,-2.735201569532052,0.75,-3.004905753716203,-3.010234762917437,-3.0004458456267784,0.75,-3.1601721222726296,-3.166672417697053,-3.153597297371582,0.75,-3.4358042822172155,-3.4418435166698718,-3.4262346275630446,0.75,-3.6924062530902386,-3.703413484102157,-3.684349969291583
16,1.0,-3.357837548042772,-3.3652865454958523,-3.349826095570143,1.0,-2.884699442522594,-2.889679823289057,-2.879492896447383,1.0,-2.7738747124554615,-2.7768857380336955,-2.7701060353105897,1.0,-2.9107558946350904,-2.9150893564569955,-2.906607082343672,1.0,-3.209357929075132,-3.215154113729995,-3.20105201118129,1.0,-3.4207160015004403,-3.429873119193514,-3.4144558422059355,1.0,-3.716449189261578,-3.7301906138598913,-3.704956314676127,1.0,-4.0214649723544635,-4.0392707487098845,-4.004858318351413
17,1.25,-3.719665632854386,-3.7288695936898617,-3.708345993929646,1.25,-3.2381088615115527,-3.2435191107104733,-3.2323164896116636,1.25,-3.0198662651081767,-3.0251346666926016,-3.0147410670380066,1.25,-3.0922272669565505,-3.0972208888930632,-3.087324820349025,1.25,-3.4544302591138067,-3.4631684120314716,-3.4455633925447904,1.25,-3.73436238487011,-3.746560676196983,-3.719155540432349,1.25,-4.085036796712987,-4.099892863046532,-4.068030886250663,1.25,-4.523301114895223,-4.555786868976709,-4.492785267707194
18,1.5,-4.072386548515145,-4.093796167647439,-4.055966374849283,1.5,-3.5760705758497453,-3.5863890533571885,-3.56624201874912,1.5,-3.2722331658114685,-3.281064203259856,-3.26606373799588,1.5,-3.3293871975195612,-3.3361362273288946,-3.3225393237624603,1.5,-3.7663636177881124,-3.7785078939155494,-3.753551323545909,1.5,-4.0748176315313005,-4.095487620225404,-4.057971863506349,1.5,-4.549507803234808,-4.57997596844613,-4.519406071011699,1.5,-5.121466062339661,-5.170684085009843,-5.050110153803994
19,1.75,-4.429532486158058,-4.450491693760976,-4.399832073367699,1.75,-3.846195851702187,-3.858998021555117,-3.830843245245248,1.75,-3.521641450923667,-3.5296702928900676,-3.510517073912961,1.75,-3.579619477983344,-3.5913944935022832,-3.571639858117931,1.75,-4.143742457050814,-4.164783207100984,-4.123674159632063,1.75,-4.54331822841711,-4.577398017989386,-4.52072647016747,1.75,-5.162083913247925,-5.216441575570518,-5.105029691494881,1.75,-5.665534106689937,-5.796302386958961,-5.568624093681881
20,2.0,-4.776232404183627,-4.812749238009389,-4.73560454660535,2.0,-4.24126515929555,-4.265600924194369,-4.217098339134044,2.0,-3.8536659839617315,-3.864902933754861,-3.8380517508384666,2.0,-3.9301348367272433,-3.939724529261274,-3.9130055101406587,2.0,-4.676529490991401,-4.711291597250613,-4.646937618198279,2.0,-5.188412851970275,-5.248062413486644,-5.129291399851618,2.0,-5.869654089345862,-6.024556049331605,-5.755710737039025,2.0,-6.2675940980178995,-6.392532834626199,-6.091502838962218
21,2.25,-5.145378219745073,-5.206896257664288,-5.090346261762276,2.25,-4.717365744962805,-4.762444119697993,-4.684508731670212,2.25,-4.304988025093773,-4.328074845399281,-4.2875907264341535,2.25,-4.389647146388711,-4.419404981026501,-4.371343535556261,2.25,-5.170684085009843,-5.227783543869549,-5.129291399851618,2.25,-5.915411579906537,-6.034597987625745,-5.790472843298237,2.25,-6.392532834626199,-6.869654089345862,-6.170684085009843,2.25,-inf,-inf,-inf
22,2.5,-5.665534106689937,-5.755710737039025,-5.527231408523655,2.5,-5.162083913247925,-5.216441575570518,-5.106226095782925,2.5,-4.854713739552926,-4.887382856306294,-4.815961150560909,2.5,-5.050110153803994,-5.1137792336733705,-5.011357564811977,2.5,-5.790472843298237,-5.915411579906537,-5.688954888049827,2.5,-6.869654089345862,-inf,-6.568624093681881,2.5,-inf,-inf,-inf,2.5,-inf,-inf,-inf
23,2.75,-5.869654089345862,-6.024556049331605,-5.755710737039025,2.75,-5.547434794611942,-5.665534106689937,-5.454680741375044,2.75,-5.602482360942848,-5.693562830290181,-5.507926253328269,2.75,-5.966564102353918,-6.170684085009843,-5.869654089345862,2.75,-6.392532834626199,-6.869654089345862,-6.170684085009843,2.75,-inf,-inf,-inf,2.75,-inf,-inf,-inf,2.75,-inf,-inf,-inf
