,qir_all_med_m1_100000000.0,qir_all_low_m1_100000000.0,qir_all_upp_m1_100000000.0,qir_sfg_med_z_100000000.0,qir_sfg_low_z_100000000.0,qir_sfg_upp_z_100000000.0,qir_all_med_m1_1000000000.0,qir_all_low_m1_1000000000.0,qir_all_upp_m1_1000000000.0,qir_sfg_med_z_1000000000.0,qir_sfg_low_z_1000000000.0,qir_sfg_upp_z_1000000000.0,qir_all_med_m1_10000000000.0,qir_all_low_m1_10000000000.0,qir_all_upp_m1_10000000000.0,qir_sfg_med_z_10000000000.0,qir_sfg_low_z_10000000000.0,qir_sfg_upp_z_10000000000.0,qir_all_med_m1_100000000000.0,qir_all_low_m1_100000000000.0,qir_all_upp_m1_100000000000.0,qir_sfg_med_z_100000000000.0,qir_sfg_low_z_100000000000.0,qir_sfg_upp_z_100000000000.0
0,2.0205926056549064,0.5066390704505814,2.7292619574955275,2.0119277270844798,0.7805330600694004,2.630349458200651,2.5888975785995747,2.2076061057361125,2.758500231389774,2.576498038762365,2.2552915864540446,2.709954740566804,2.7047256597165656,2.482105813980663,3.06115871872309,2.6584078097513775,2.4950858503882944,2.728702027767858,2.841040809802351,2.6486961340662236,3.113255626104601,2.662073771573734,2.559995631394657,2.7440923623804485
1,2.2023448810868196,0.9177506012159498,2.6899107266751097,2.1733508842754787,0.9839498979620567,2.6404995521164634,2.647741705483938,2.32984253905947,2.751226956217618,2.642671614388206,2.3728185821968157,2.727304684989959,2.7215407726458274,2.61559297807441,2.8648056696986233,2.68388952711231,2.5975978747112807,2.734027393522583,2.8371812059832635,2.7015603479643664,3.097780796148727,2.6822705097330406,2.6257552938885897,2.727536432821406
2,2.39876656838846,1.3629367795024174,2.6902690997365193,2.402488485271359,1.4052622487583561,2.670089318672012,2.67606834145562,2.4816189194079943,2.7466655175270063,2.671010449203539,2.513371089194736,2.7324901448136565,2.727092800369382,2.6443009515698015,2.8716827673395575,2.6922977205989014,2.6299325733765726,2.745434251653151,2.876410750923622,2.7037773646735817,3.109266979425175,2.6964114779502104,2.6377901401387334,2.7435615401675406
3,2.51550119876096,1.6931687537994937,2.6961642393405927,2.523809949782162,1.7528328088689482,2.686229215547233,2.6771083121936865,2.552224055592295,2.741757090601381,2.670119202376636,2.561186737510617,2.728538822641457,2.7179484864552013,2.6457950651726785,2.8261902580213025,2.693862563345567,2.6371716669611978,2.7497977030467706,2.8143974147486155,2.6933225652461683,2.989623291872165,2.7011369760982333,2.672928271122911,2.76311095647597
4,2.5651090093648197,1.9694671831248065,2.6928460651720982,2.5685713520218645,2.016583726271238,2.686437761634908,2.670634253575326,2.580541185776136,2.738811215366167,2.662309055798822,2.5840031038345197,2.7207537428497433,2.698413356102975,2.640085605444028,2.783722695299451,2.677889379697355,2.6334347636959445,2.7345637202070807,2.6964525339238463,2.660731077626087,2.782688927586206,2.671423762233905,2.648512767946472,2.6968870709956896
5,2.6044503472730547,2.3049998424944267,2.679398589981521,2.605980520903742,2.333666704385206,2.673965436330922,2.655488027318917,2.5992047420622018,2.7095060805532616,2.649740321954237,2.5979252153257084,2.687134484102659,2.6688715763380024,2.6389517042969377,2.715605581961945,2.6616865875308235,2.633899487545769,2.6842784635625763,,,,,,
6,2.6147818449094977,2.395005309134447,2.673662378103873,2.619100786869476,2.455062673346841,2.6668645335156365,2.6467487224171116,2.604549764743935,2.6843806866412425,2.643911235928579,2.6051847857836496,2.6724598495350076,2.6563592041842288,2.6131170584549386,2.718881874715508,2.6563592041842288,2.6131170584549386,2.718881874715508,,,,,,
7,2.621316059813335,2.456913856573933,2.669566337566847,2.6247059803567474,2.5093905645138315,2.6628774151115606,2.642608730860921,2.6058245059665923,2.6740896137489387,2.638984928226769,2.6058828709225907,2.663474263872656,2.6748131347240474,2.6748131347240474,2.6748131347240474,2.6748131347240474,2.6748131347240474,2.6748131347240474,,,,,,
8,2.623468173805474,2.508702873835367,2.665141640143897,2.6276327586868895,2.5705085659219913,2.656074440799925,2.6406752191777123,2.619806692432318,2.6626204129029745,2.640406374133285,2.6189020176759734,2.6594750348847085,,,,,,,,,,,,
9,2.6239142383987897,2.517956426700517,2.658806809254977,2.6239434288136856,2.528932226712724,2.655793504206883,2.635858070234022,2.6232682806724967,2.6512738404460006,2.635858070234022,2.6232682806724967,2.6512738404460006,,,,,,,,,,,,
