,mid_rad,med_fir,low_fir,upp_fir,mid_mst,med_sfr,low_sfr,upp_sfr,mid_mst_a,med_sfr_a,low_sfr_a,upp_sfr_a,med_qir,low_qir,upp_qir
0,4.1054799920238174e+19,1.9103215590917226e+33,3.2232970345245515e+32,7.1963003654512825e+34,116320382.54444973,0.024680548505758508,0.018500057698780374,0.04194906566629181,116320382.54444973,0.024680548505758508,0.014465259350503813,1.064416462225317,1.1842447718912652,0.2935225829402079,2.630232028178701
1,5.992057086490941e+19,3.3274920624000175e+33,6.1544186883551124e+32,9.664622543014464e+34,157385958.6975849,0.032763541794546186,0.02461186535060888,0.0549972685905947,157385958.6975849,0.032763541794546186,0.019238951935126553,1.4106211817157925,1.210817553022542,0.54337805825255,2.6207939346895834
2,8.745566461783405e+19,6.987029438400003e+33,1.3869818149437338e+33,1.3670543358529194e+35,212949265.23898047,0.04400724854007942,0.033010769444607756,0.07342069188294331,212949265.23898047,0.04400724854007942,0.025475783252201983,1.9407066814709177,1.4026518482350543,0.8070555334588927,2.615870203801072
3,1.276438652594041e+20,1.8410203946249124e+34,3.246170642377567e+33,1.960344670609511e+35,288128559.5048314,0.060306126915092725,0.04448846702907843,0.09923443138659005,288128559.5048314,0.060306126915092725,0.03389362914164989,2.4572053354067975,1.6665819986606714,1.0511959843198084,2.6127751017137015
4,1.8629961146094168e+20,5.003225705279992e+34,8.431187178853184e+33,2.878167298969515e+35,389849040.8462418,0.08284553988995504,0.06063586424188857,0.13720520633752048,389849040.8462418,0.08284553988995504,0.04510330130926615,3.4621027481537814,1.948419393747436,1.2964373860156406,2.6199759481002696
5,2.71909230889894e+20,1.2390608820479967e+35,2.1636347764477124e+34,4.302857113832853e+35,527480770.77096367,0.11682503511734894,0.0839318109925308,0.18861607986374407,527480770.77096367,0.11682503511734894,0.05984124941658277,4.669181565485013,2.1303487616988903,1.5236590215513723,2.629707857178383
6,3.968587441667012e+20,2.7305977797120158e+35,5.493777506554817e+34,6.5860484361414206e+35,713701803.4702955,0.16457110843916095,0.11679975179704566,0.2632792134399685,713701803.4702955,0.16457110843916095,0.07978168823142671,5.590248367049087,2.292757535692296,1.7418067299065745,2.650717936741488
7,5.792258773492962e+20,5.177732955648022e+35,1.4511244471650727e+35,1.0128231186696966e+36,965666034.673194,0.23275243218172081,0.1643597483485898,0.3700014115272032,965666034.673194,0.23275243218172081,0.10566728426315004,8.160109434625396,2.394471736504908,1.9442372482377874,2.669638061166063
8,8.453955517485925e+20,9.310179585235996e+35,3.645171583594531e+35,1.554683071139857e+36,1306583346.1358967,0.32593217237678507,0.23051240879193216,0.5095242282048362,1306583346.1358967,0.32593217237678507,0.1410573544330751,9.333969684258838,2.480071075663105,2.1325525197701696,2.6876985445857637
9,1.2338772607794222e+21,1.5477161356733005e+36,7.313189926562618e+35,2.346508986507424e+36,1767857602.0098257,0.4484138812228411,0.3207153606478072,0.6973235059904939,1767857602.0098257,0.4484138812228411,0.18633191536692717,13.177763448730403,2.528618557781808,2.228077307795332,2.6999285791416527
10,1.800876632860832e+21,2.5155414011904078e+36,1.2735775530699654e+36,3.539933091050443e+36,2391979440.29117,0.6023072866477793,0.43522150738054577,0.9183697112946306,2391979440.29117,0.6023072866477793,0.2485827634644079,17.928376597207542,2.5642126744631817,2.275044125327218,2.7091873181003763
11,2.628427275445139e+21,3.961777195511861e+36,2.1358551515135908e+36,5.2639819972607655e+36,3236440331.093989,0.8007130104715064,0.5838544253174508,1.2173794206413093,3236440331.093989,0.8007130104715064,0.3306118270823202,20.885207709170764,2.5904592691308164,2.318091021380822,2.7143696634230294
12,3.8362594173533484e+21,6.098687576548686e+36,3.5931287175167924e+36,7.821221036851256e+36,4379028448.2782345,1.055592184435542,0.7766404243130501,1.6032281899093634,4379028448.2782345,1.055592184435542,0.4442107170543515,31.779737789668435,2.6148727773898273,2.3506840077054636,2.7199947086666345
13,5.599122507484961e+21,9.155202084860622e+36,5.784594006132971e+36,1.1507700925117223e+37,5924994187.780488,1.359982818544481,0.9967381106955749,2.0567617794311563,5924994187.780488,1.359982818544481,0.5819972024950824,43.513457631787524,2.625264921873047,2.3785560592875457,2.721620828174868
14,8.172068007708744e+21,1.3386144143657353e+37,8.88620271723879e+36,1.659654575095941e+37,8016745389.95864,1.732399681215171,1.2723065651904188,2.623389443552123,8016745389.95864,1.732399681215171,0.7880199459779587,54.485066221842466,2.6392176384791597,2.415696545955824,2.724341545407811
15,1.1927350300576743e+22,1.954081357189782e+37,1.3421642584026068e+37,2.41939963191374e+37,10846965348.922747,2.1802046196068994,1.596837563728701,3.403750634540805,10846965348.922747,2.1802046196068994,1.02531993891741,86.68847735756188,2.6487961771304978,2.4478896998382806,2.7246848174503073
16,1.7408284544190296e+22,2.818654668341755e+37,1.97222239364531e+37,3.4829326469207284e+37,14676361984.515617,2.708322154132705,1.991001933387864,4.2724124547726605,14676361984.515617,2.708322154132705,1.3729138578572675,79.64735597225096,2.6573765539932843,2.4755893694927957,2.726813708709183
17,2.5407853641796782e+22,4.065209406552576e+37,2.917266803020468e+37,5.022234564831659e+37,19857683155.771187,3.444540953883706,2.522793855895409,5.444461210788692,19857683155.771187,3.444540953883706,1.8255949420370219,124.41879781397598,2.659133200636674,2.5061457696672744,2.728556312876523
18,3.7083437201651774e+22,5.763664804057258e+37,4.275909692735383e+37,7.16532362947555e+37,26868210305.185516,4.512126270103033,3.249964851296067,7.214594011378163,26868210305.185516,4.512126270103033,2.4045923531753712,158.6280759898419,2.6632164824024684,2.5194216393901154,2.729895420581368
19,5.412426150104355e+22,8.349157502452412e+37,6.363321938448452e+37,1.0161657985686055e+38,36353723611.199776,6.318283590334787,4.406718501444155,10.688356351234525,36353723611.199776,6.318283590334787,3.228896732229973,190.09602742621533,2.6652090331035403,2.526411935319432,2.732154134842871
20,7.899579715611858e+22,1.1921388168491729e+38,9.26923580479169e+37,1.4411490784250072e+38,49187988533.21571,8.8727503051322,5.953890592588032,16.061133931751097,49187988533.21571,8.8727503051322,4.252520422804443,420.2402386859835,2.658102294239878,2.5214489933169895,2.732956808082478
21,1.1529646401199052e+23,1.7384727394301527e+38,1.3893911743422458e+38,2.1024771580022078e+38,66553243398.65968,12.233902985326822,7.898358348496825,25.96427191795315,66553243398.65968,12.233902985326822,5.653000166353844,309.6643337016207,2.6654660622212116,2.536995838287122,2.7428476744038908
22,1.682782514036394e+23,2.5348160176748282e+38,2.0470272661041227e+38,3.0376907971419727e+38,90049102208.97034,16.561910187696668,10.72539161572423,43.14372862268818,90049102208.97034,16.561910187696668,7.812588240137063,327.2787355646452,2.659766756096193,2.5634793545286754,2.7421932330772827
23,2.4560657725393485e+23,3.698489235749983e+38,3.0893232230805462e+38,4.523625075653099e+38,121839904331.46878,22.018460213939896,13.628744670118312,75.95920644180673,121839904331.46878,22.018460213939896,10.139537762989713,440.8856795677759,2.658199799737968,2.5426534851837213,2.733341267141059
24,3.584693226084262e+23,5.411595909857248e+38,4.4472538703949185e+38,6.4487772324362e+38,164854084308.93326,29.668202342967135,18.641854746905974,84.5454078015337,164854084308.93326,29.668202342967135,14.281656561636105,651.5190639105667,2.659121626269675,2.584835961325661,2.757283118904522
25,5.231954969939034e+23,7.916115917291385e+38,6.445540110280248e+38,9.060548160417053e+38,223053926892.47098,37.36645708658943,24.300934986407405,104.79807536584231,223053926892.47098,37.36645708658943,19.008617354424377,718.6455055368426,2.684755126045248,2.5996645507297442,2.756335764613517
