,xmf,flux_8p4GHz_med_bres,flux_8p4GHz_upp_bres,flux_8p4GHz_low_bres,flux_8p4GHz_med_dale,flux_8p4GHz_upp_dale,flux_8p4GHz_low_dale,flux_5GHz_med_bres,flux_5GHz_upp_bres,flux_5GHz_low_bres,flux_5GHz_med_dale,flux_5GHz_upp_dale,flux_5GHz_low_dale,flux_3GHz_med_bres,flux_3GHz_upp_bres,flux_3GHz_low_bres,flux_3GHz_med_dale,flux_3GHz_upp_dale,flux_3GHz_low_dale,flux_1p4GHz_med_bres,flux_1p4GHz_upp_bres,flux_1p4GHz_low_bres,flux_1p4GHz_med_dale,flux_1p4GHz_upp_dale,flux_1p4GHz_low_dale,flux_610MHz_med_bres,flux_610MHz_upp_bres,flux_610MHz_low_bres,flux_610MHz_med_dale,flux_610MHz_upp_dale,flux_610MHz_low_dale,flux_325MHz_med_bres,flux_325MHz_upp_bres,flux_325MHz_low_bres,flux_325MHz_med_dale,flux_325MHz_upp_dale,flux_325MHz_low_dale,flux_150MHz_med_bres,flux_150MHz_upp_bres,flux_150MHz_low_bres,flux_150MHz_med_dale,flux_150MHz_upp_dale,flux_150MHz_low_dale
10,-3.375,14.194162821970092,14.194663193666056,14.193750437804086,14.571670058158466,14.571899107075971,14.571354961944788,14.311356883352786,14.311738207120829,14.311029790052258,14.611721370002975,14.611922356355517,14.611416299008065,14.414008112968864,14.414418558974965,14.41362868746415,14.66517088406427,14.665395417181095,14.664907013943536,14.545837486572426,14.546097651261654,14.545450071068753,14.733409733171106,14.73360653379962,14.733130437082545,14.668805673878587,14.66907947932135,14.668558158589557,14.83417802112935,14.834405595132214,14.833966784124803,14.759793892173311,14.759969523440422,14.759541950969952,14.9164246356665,14.916627421395912,14.916231006928047,14.881452397304024,14.881613860625292,14.881263901954508,15.013901252566871,15.014073182335691,15.013763148411961
11,-3.125,13.75629909400007,13.756810657556416,13.755847902372746,14.203797236904515,14.204130241492614,14.203476726931596,13.890578821622723,13.89102171484855,13.8900146395593,14.265439397138547,14.265743831346898,14.265107407853879,14.012419060845824,14.01291014884228,14.011969629431706,14.332589157320033,14.332908939218127,14.33224857699672,14.170068399137127,14.170430904681059,14.169815902053596,14.393734312740069,14.393953635761441,14.393431493003035,14.312154358929087,14.312423090385723,14.311847265484122,14.48146819169159,14.481631323789319,14.481257349389077,14.405666321205683,14.405923184079182,14.405371961716247,14.563829461092135,14.564000251992688,14.563637010874274,14.518110742241143,14.518347237982256,14.51790504516084,14.674924691922405,14.675084114739509,14.674742534437124
12,-2.875,13.28789306558199,13.288445108810699,13.287089145497625,13.782330041411395,13.782626673423543,13.78187397965439,13.44489661708334,13.445439898750374,13.44446769803321,13.87296371725784,13.873316787626036,13.872625385698754,13.584321663128941,13.584816726811743,13.583697968760964,13.975337125205053,13.975580210537187,13.975019679892002,13.76971105177529,13.770012926330082,13.769367080497778,14.059928076330742,14.060204984673506,14.059615510129738,13.940172197765415,13.940445508218973,13.93980677980097,14.141906863003337,14.14211559281008,14.141572526455974,14.047703288989897,14.047994319803854,14.047395614090872,14.212243201460627,14.21248364341398,14.212037455283406,14.163570218617494,14.163869712139894,14.163265616005615,14.322804214289071,14.323071109104268,14.322601122474023
13,-2.625,12.796815378595303,12.797750521822849,12.796012055958212,13.314091876978328,13.31453715032007,13.313674767291715,12.96767324712953,12.9686729914331,12.966880530213713,13.429422314140165,13.429825370782266,13.428969635734648,13.128324703312419,13.129100494639104,13.127728387285973,13.568688832201865,13.56910383315824,13.568340175175326,13.342691336643735,13.343115419031896,13.342221808502279,13.69318556921282,13.693456083927215,13.692822159480915,13.54346746728861,13.543777323481814,13.5430434736075,13.808330613978566,13.808631758737013,13.808053908155559,13.672751087747779,13.673015599579317,13.672399837608367,13.876308514687247,13.876553300680104,13.876037284541827,13.806220314413146,13.806520542568535,13.805953187910765,13.970627959698206,13.97088839002886,13.970434879915087
14,-2.375,12.287431062899461,12.288559934299473,12.286359743624102,12.806538124174471,12.807148977693434,12.80596470884611,12.472520240088796,12.473419338744577,12.471510042571056,12.943209597467266,12.943741181956334,12.94254447452803,12.64607160359715,12.646821657953268,12.64505265744274,13.114951851790202,13.115389576079028,13.114482437647537,12.888399100948927,12.88904333323983,12.88787905252704,13.277253874986359,13.277605561446686,13.276731076133673,13.119982024081544,13.12040517365517,13.119397019192805,13.44273913911203,13.443135330711817,13.442363325832599,13.272944087055178,13.27329013822481,13.272437241386484,13.53945950344186,13.539732373998342,13.53916008845314,13.433095680880498,13.433407126322827,13.432776461158944,13.633206878611352,13.633436484193826,13.632935137781928
15,-2.125,11.762981243023885,11.765016666491784,11.761509241987344,12.262920607777419,12.263898957772549,12.26183871061047,11.9576816862452,11.959074067423947,11.956489600941907,12.42004913110378,12.420967674646308,12.419075720462736,12.143153949824052,12.14425423155547,12.141838832624396,12.620533999379308,12.62098732234824,12.620057678019572,12.407344124169455,12.408153993760665,12.406446947334073,12.816202914873864,12.816683986168245,12.815733739358432,12.67067426409397,12.671325275264243,12.67007610327289,13.028739724890102,13.029159695600532,13.028356839324367,12.846705272568736,12.847127083850758,12.84627533568367,13.16608984935585,13.166467639066795,13.165672171271327,13.03549739655369,13.035810277647343,13.035204688398563,13.298552674459964,13.29890720961869,13.298194712420928
16,-1.875,11.226419580781105,11.228323747690881,11.223311483675522,11.696290548776158,11.697597596531375,11.695035450764642,11.428598582148872,11.43040161173789,11.426795956323566,11.86716639298884,11.86821181909599,11.866029023022644,11.62552292216754,11.62650984073394,11.624164914600927,12.09092790069763,12.091987448696528,12.090240987935433,11.905639810244901,11.90664393271808,11.904640809688546,12.31617927702112,12.316915701492889,12.315479782298732,12.192602096304084,12.193238033468639,12.191483475151607,12.570151612057815,12.57067114588226,12.56964669834934,12.39325212101611,12.393915387706251,12.39257684834259,12.744466468513833,12.74490446049094,12.743924879309292,12.610867195929346,12.61146889451595,12.610440432830117,12.929739960911762,12.930011860951785,12.92946123432864
17,-1.625,10.68366120924345,10.686882624384051,10.680214804572124,11.114617360177924,11.116282140626545,11.11310171887978,10.8932666974445,10.895567348191372,10.890414093270037,11.293841510010049,11.29517831063012,11.291916608873034,11.093049646378649,11.095128308553242,11.09098700285045,11.535595952153388,11.536643291310279,11.533963191962314,11.388957371217108,11.390423818565644,11.387423835801858,11.782140328482681,11.783194055255798,11.781230134800708,11.695317086087531,11.696501998268216,11.694029201206265,12.072554583956686,12.073342408779933,12.071784536868325,11.912984753055467,11.914066905600105,11.912207409548525,12.279079820064377,12.27963276613361,12.278649381674335,12.160404901071018,12.16104385790374,12.159663494411369,12.513954073976072,12.514254988036798,12.513514404972726
18,-1.375,10.136512858481677,10.141170692533246,10.130722792776996,10.522399278514419,10.525343192735352,10.518998675148708,10.347300842617386,10.35124397765055,10.344135106977966,10.712543842381754,10.714618596688593,10.709701349972764,10.554477063045802,10.558347707677548,10.55106187074356,10.962808006205067,10.964443619950625,10.960723099940589,10.856059605967223,10.857924954729476,10.854346145408114,11.225811653806657,11.227183233965999,11.224218064068522,11.178956976182505,11.180659903552867,11.17755636838153,11.541036119978356,11.542011173232039,11.540148803208616,11.412268938308747,11.41354425579118,11.411208337975483,11.776719865974982,11.777637606593816,11.776100065739596,11.681451168940615,11.682093137567566,11.680570643307997,12.053633331244408,12.0540748353787,12.0530932421572
19,-1.125,9.568364526066466,9.575723508421085,9.562785791865176,9.948184210582957,9.95246291819688,9.944117932629808,9.794140582611748,9.798433655657885,9.789751550998751,10.133599316349711,10.137739031408875,10.129860400143139,10.009921755227712,10.013405132016256,10.006047327176361,10.38048660863936,10.38295164707264,10.377975979116703,10.319169207621018,10.321671910874702,10.316184565101251,10.654733414638702,10.657313729582276,10.653180307297895,10.648226700949493,10.649974553325144,10.64629782457678,10.988118541014769,10.989026276119207,10.98688947420934,10.895728660774685,10.897146335777702,10.894308012419232,11.241976281422799,11.242840659079341,11.2407551536899,11.1833261106312,11.184280648186324,11.18224925822474,11.555409594922429,11.555920633332269,11.554610792693923
20,-0.875,8.99616180714148,9.007273204394588,8.986385092659189,9.342543003811167,9.34815090143906,9.335784469494968,9.221730693978307,9.232097511774237,9.216525641624486,9.53725265689548,9.54302079661342,9.53128235724505,9.444048548459179,9.450630735165197,9.439641118092029,9.805823147208493,9.809243996981463,9.800807498627911,9.775818814004774,9.780905779027915,9.772096682919193,10.071916400065023,10.07482061105738,10.06926805569026,10.112739034930554,10.11584034209464,10.109814098289293,10.419116417702261,10.421346059155946,10.416726916985853,10.363259201601275,10.365461950543988,10.361747004989134,10.68494430433281,10.686281822677415,10.683710161589822,10.666964140923739,10.668291559385843,10.665691263395711,11.023897460047047,11.024903114680622,11.022888511200549
21,-0.625,8.409982771406249,8.424414723436916,8.393489372751374,8.728640874745958,8.73673621408968,8.718496487261122,8.645990785115595,8.656101189744037,8.634740537552167,8.943646748242836,8.95152730789002,8.937393103426569,8.88136288016177,8.890971750510364,8.87318866895882,9.212673276125749,9.21781713080566,9.204996355506726,9.210846337339461,9.216552579903693,9.204889846308314,9.500096492436489,9.503813347897369,9.495237373031294,9.569071555336652,9.57217114408234,9.564723665335942,9.837602755803177,9.840960921311462,9.83497866210986,9.826656055468305,9.829464107253559,9.823199755617528,10.117113625462785,10.11910566760179,10.11529336219822,10.13581777610273,10.138000617922646,10.133798456649336,10.470984636172943,10.472370824068364,10.469770153671474
22,-0.375,7.778461135694857,7.799344587471903,7.752888675968693,8.11911816506703,8.133613571769631,8.103549499988173,8.065331446145894,8.080096419933339,8.051237832984903,8.33607403046193,8.346895259466036,8.322560329757547,8.298056664719283,8.311156893578822,8.283853330686911,8.613492441537415,8.62193977832052,8.60614036424233,8.648118281446195,8.657421769452634,8.640059695480693,8.90724421200696,8.913454872982046,8.901914555768382,9.014186745935017,9.019573955585217,9.00722076266829,9.265956477177825,9.27096007511028,9.262340945054216,9.283497528429729,9.287661032647113,9.279377831900382,9.533463742922972,9.536962977453221,9.530925984057292,9.599223957760001,9.601971378595252,9.596455361480494,9.904479722071178,9.906317088436722,9.902412775706367
23,-0.125,7.195386213533377,7.2223376473037595,7.16430367386133,7.460402454545472,7.483389575150174,7.437864964676946,7.406139245133627,7.433605671166497,7.385322268195316,7.697016967334483,7.718390142782846,7.6840893408028546,7.689975319325837,7.703266386182235,7.671933246244878,8.01398061170458,8.026281075338362,7.9988023150554675,8.065638933286722,8.077488351715516,8.052863595531262,8.297636511299139,8.303638282018154,8.288934092066222,8.445483712668,8.454047940100706,8.438139483342285,8.679194031396422,8.685455260487418,8.672232632447397,8.721966077942106,8.727337449870594,8.715832369756301,8.969146310490421,8.973412243853613,8.963512558538655,9.05661375384817,9.060343197547068,9.051783034941701,9.323356363373621,9.325918945817875,9.320205209211347
24,0.125,6.6430500680671125,6.674142035499239,6.581304472122307,6.9058155636358105,6.939239319122761,6.869603390981366,6.847823616658125,6.8793080131561,6.8168329190298556,7.063423416997479,7.087583955583183,7.029323345137662,7.0663946565132445,7.089759370784699,7.033602143116937,7.3569351438582995,7.377338877836975,7.335185298926709,7.457570436652378,7.47908424208611,7.44150934120547,7.711191205599043,7.721795056436764,7.701091720604813,7.860851015566555,7.872056128822651,7.845807474906456,8.073637959787668,8.081586698276078,8.066465717069123,8.157421769452634,8.165378009035074,8.14705393398827,8.368755106614396,8.375133645227558,8.361545754066547,8.500564209271577,8.507100562547325,8.4955359408368,8.754794251960663,8.758773634354243,8.750582041854463
