,zmf_flux_8p4GHz,mst_medflux_8p4GHz,mst_lowflux_8p4GHz,mst_uppflux_8p4GHz,sfr_medflux_8p4GHz,sfr_lowflux_8p4GHz,sfr_uppflux_8p4GHz,zmf_flux_5GHz,mst_medflux_5GHz,mst_lowflux_5GHz,mst_uppflux_5GHz,sfr_medflux_5GHz,sfr_lowflux_5GHz,sfr_uppflux_5GHz,zmf_flux_3GHz,mst_medflux_3GHz,mst_lowflux_3GHz,mst_uppflux_3GHz,sfr_medflux_3GHz,sfr_lowflux_3GHz,sfr_uppflux_3GHz,zmf_flux_1p4GHz,mst_medflux_1p4GHz,mst_lowflux_1p4GHz,mst_uppflux_1p4GHz,sfr_medflux_1p4GHz,sfr_lowflux_1p4GHz,sfr_uppflux_1p4GHz,zmf_flux_610MHz,mst_medflux_610MHz,mst_lowflux_610MHz,mst_uppflux_610MHz,sfr_medflux_610MHz,sfr_lowflux_610MHz,sfr_uppflux_610MHz,zmf_flux_325MHz,mst_medflux_325MHz,mst_lowflux_325MHz,mst_uppflux_325MHz,sfr_medflux_325MHz,sfr_lowflux_325MHz,sfr_uppflux_325MHz,zmf_flux_150MHz,mst_medflux_150MHz,mst_lowflux_150MHz,mst_uppflux_150MHz,sfr_medflux_150MHz,sfr_lowflux_150MHz,sfr_uppflux_150MHz
10,2.5,,,,,,,2.5,,,,,,,2.5,11.450254440307617,11.199732475280761,11.676338195800781,3.2952827151361563,3.0619734293817276,3.53325458335207,2.5,11.088500022888184,10.776634216308594,11.446545600891113,2.874825603191273,2.8019674496884934,3.0388027397179624,2.5,10.829866409301758,10.586534843444824,11.18178653717041,2.6097312223010634,2.527379465123302,2.783709745489968,2.5,10.673849105834961,10.410971641540527,11.01073932647705,2.4017574002524547,2.307485347860726,2.5880390842821948,2.5,10.507485389709473,10.194353675842285,10.844603538513184,2.1715962631068053,2.054589041941011,2.3807246813696006
11,2.75,,,,,,,2.75,,,,,,,2.75,11.750905990600586,11.02318084716797,11.844001846313477,3.3145176785674137,3.2071462442091883,3.7381209758718947,2.75,11.228432655334473,10.834290504455566,11.763141632080078,3.0818463064889507,2.935699101127827,3.4171383959140997,2.75,10.888566970825195,10.633729934692383,11.194953918457031,2.743466858745317,2.655999819045243,2.882326400713609,2.75,10.738090515136719,10.488845825195312,11.02968822479248,2.5276677973080277,2.4346008187377595,2.721539806848781,2.75,10.549826622009277,10.264687538146973,10.870805740356445,2.2769494246717343,2.1715462893726336,2.4751317541671924
12,3.0,,,,,,,3.0,,,,,,,3.0,,,,,,,3.0,,,,,,,3.0,10.965235710144043,10.744653701782227,11.210586547851562,2.7957981128786646,2.7427269048409824,2.9253572018204466,3.0,10.81406021118164,10.52467155456543,11.074742317199707,2.6197733357681763,2.5288134087952496,2.754187939147577,3.0,10.58431625366211,10.321032524108887,10.92048168182373,2.366705181772184,2.2774808205946955,2.5290378209747693
13,3.25,,,,,,,3.25,,,,,,,3.25,,,,,,,3.25,,,,,,,3.25,11.076225280761719,10.845483779907227,11.263811683654785,2.9327636681575404,2.8483832719558677,2.9748460666929937,3.25,10.82832145690918,10.59666244506836,11.080527954101562,2.6977759896774662,2.637147604670969,2.817685260912545,3.25,10.649460792541504,10.369359664916992,10.94058895111084,2.4713300821635364,2.387582938552562,2.6338806323099533
14,3.5,,,,,,,3.5,,,,,,,3.5,,,,,,,3.5,,,,,,,3.5,10.809991836547852,10.763360023498535,10.937475204467773,2.9670091282384816,2.9517963140389605,2.9802608178745826,3.5,11.002595901489258,10.769479751586914,11.147857666015625,2.8120515472443146,2.7391670631055,2.9514813871278913,3.5,10.701450824737549,10.423993492126465,10.994823455810547,2.56303171474761,2.4742247142859863,2.7272775691974336
15,3.75,,,,,,,3.75,,,,,,,3.75,,,,,,,3.75,,,,,,,3.75,,,,,,,3.75,10.884092330932617,10.676326751708984,11.079933166503906,2.906379108663989,2.848981730269326,3.059323746744113,3.75,10.703739166259766,10.495257377624512,11.0131196975708,2.639300929409666,2.58234139165724,2.794434390665803
16,4.0,,,,,,,4.0,,,,,,,4.0,,,,,,,4.0,,,,,,,4.0,,,,,,,4.0,,,,,,,4.0,10.776711463928223,10.421624183654785,11.143619537353516,2.696355855388305,2.650403193618451,2.7881836103733737
17,4.25,,,,,,,4.25,,,,,,,4.25,,,,,,,4.25,,,,,,,4.25,,,,,,,4.25,,,,,,,4.25,10.706244468688965,10.296402587890626,11.12352180480957,2.787226827039815,2.738524069321793,2.979269606966541
18,4.5,,,,,,,4.5,,,,,,,4.5,,,,,,,4.5,,,,,,,4.5,,,,,,,4.5,,,,,,,4.5,,,,,,
19,4.75,,,,,,,4.75,,,,,,,4.75,,,,,,,4.75,,,,,,,4.75,,,,,,,4.75,,,,,,,4.75,,,,,,
20,5.0,,,,,,,5.0,,,,,,,5.0,,,,,,,5.0,,,,,,,5.0,,,,,,,5.0,,,,,,,5.0,,,,,,
21,5.25,,,,,,,5.25,,,,,,,5.25,,,,,,,5.25,,,,,,,5.25,,,,,,,5.25,,,,,,,5.25,,,,,,
22,5.5,,,,,,,5.5,,,,,,,5.5,,,,,,,5.5,,,,,,,5.5,,,,,,,5.5,,,,,,,5.5,,,,,,
23,5.75,,,,,,,5.75,,,,,,,5.75,,,,,,,5.75,,,,,,,5.75,,,,,,,5.75,,,,,,,5.75,,,,,,
24,6.0,,,,,,,6.0,,,,,,,6.0,,,,,,,6.0,,,,,,,6.0,,,,,,,6.0,,,,,,,6.0,,,,,,
25,6.25,,,,,,,6.25,,,,,,,6.25,,,,,,,6.25,,,,,,,6.25,,,,,,,6.25,,,,,,,6.25,,,,,,
26,6.5,,,,,,,6.5,,,,,,,6.5,,,,,,,6.5,,,,,,,6.5,,,,,,,6.5,,,,,,,6.5,,,,,,
27,6.75,,,,,,,6.75,,,,,,,6.75,,,,,,,6.75,,,,,,,6.75,,,,,,,6.75,,,,,,,6.75,,,,,,
28,7.0,,,,,,,7.0,,,,,,,7.0,,,,,,,7.0,,,,,,,7.0,,,,,,,7.0,,,,,,,7.0,,,,,,
