,mst_hex,qir_hex,non_hex,tef_hex,hmr_hex,gsd_hex,sfr_hex,sfd_hex
0,8.000000736755366,-2.3794336623863095,14.0,35.126310620989116,-3.0876549909184248,12.760978820459357,0.030667043936398592,0.38227015244206386
1,8.000000736755366,-1.8776253324786711,49.0,39.290959416603556,-3.0053881280519716,12.642077858954627,0.025018938583674308,0.3186504744879166
2,8.000000736755366,-1.3758170025710328,278.0,42.400886350398444,-2.9745572901988635,12.709019397223587,0.01689611814310947,0.13125336545530825
3,8.000000736755366,-0.8740086726633947,765.0,46.872500784880195,-2.983450091795902,12.63096222742329,0.016957240783442077,0.03748483921362315
4,8.000000736755366,-0.37220034275575653,2467.0,40.33152880937308,-3.049300861789842,11.68966172758199,0.00925485200212709,-1.8094241032839944
5,8.000000736755366,0.12960798715188204,5888.0,48.25597279810387,-3.006406006063814,12.358825065465556,0.013091744637284458,-0.25720253246077157
6,8.000000736755366,0.6314163170595202,3590.0,45.16950287035249,-3.0785476301095267,12.533016496080998,0.019701538947538663,0.06666863038324024
7,8.000000736755366,1.1332246469671583,1601.0,37.21246904734147,-3.0114105020280406,12.28451843145894,0.01587256555857119,-0.43820267784001515
8,8.000000736755366,1.6350329768747969,1228.0,36.041196812247605,-3.020896363219793,12.317171252060003,0.015887904395618185,-0.4129555578894387
9,8.000000736755366,2.1368413067824346,2182.0,35.54296890122425,-3.015166098500814,12.570862497824402,0.024585263936318234,0.12235105294834364
10,8.000000736755366,2.638649636690073,10537.0,33.75689411208584,-3.044802587579864,12.707749349757679,0.01908631702467477,0.35010949791473017
11,8.000000736755366,3.1404579665977117,606.0,26.45318823836424,-2.996696684795951,11.631112343847875,0.00042135159341917587,-1.7835022276301713
12,8.000000736755366,3.6422662965053494,627.0,25.317570824752394,-3.0342437460432565,11.244231707327605,7.14968101117072e-05,-2.58476722270028
13,8.000000736755366,4.144074626412988,823.0,25.075646772419407,-3.1298604262202625,10.942358459075786,1.5042346926292105e-05,-3.180512521032348
14,8.000000736755366,4.645882956320626,733.0,25.013283033488065,-3.230250459870672,10.64401359501589,3.2264938062187417e-06,-3.793437711411176
15,8.000000736755366,5.147691286228264,98.0,25.001852444240026,-3.2931282447789645,10.41782281279183,6.790230724309074e-07,-4.529977059796429
16,8.133296839515214,-2.3794336623863095,16.0,34.661487340927124,-3.054592931704788,12.314481579889733,0.033174694754401456,0.5754469084937469
17,8.133296839515214,-1.8776253324786711,53.0,39.62892240848181,-3.045951809873234,12.714812553128327,0.023855906608657357,0.4396439166688041
18,8.133296839515214,-1.3758170025710328,314.0,43.286755130549146,-2.9800450163737406,12.734216490981003,0.024882939622641542,0.2985482941512594
19,8.133296839515214,-0.8740086726633947,960.0,46.612932203213376,-2.933423207995424,12.645686956752717,0.02112306072449211,0.06825799725403649
20,8.133296839515214,-0.37220034275575653,3481.0,39.709449411363174,-3.051678830967817,11.648514600479274,0.011674378886593227,-1.8990995386985077
21,8.133296839515214,0.12960798715188204,5491.0,46.96664861902429,-2.9678887606092768,12.171354696781266,0.017651039763644405,-0.6701623858178348
22,8.133296839515214,0.6314163170595202,12473.0,48.05426665185057,-3.0451669044581906,12.619928094001981,0.022114937587628496,0.2973441725919795
23,8.133296839515214,1.1332246469671583,3736.0,38.81591380484865,-3.0216879931610516,12.403526775416571,0.02095855945053266,-0.16579540173747803
24,8.133296839515214,1.6350329768747969,2381.0,36.6244850575248,-3.0103806769017947,12.30281504803432,0.019106326672751753,-0.3761061917503195
25,8.133296839515214,2.1368413067824346,4334.0,35.45285653605899,-3.0064193056969457,12.571845244725813,0.027698455660633663,0.16104457004455372
26,8.133296839515214,2.638649636690073,18295.0,33.53626789333847,-3.0269914822087713,12.734123020015872,0.02442420072713156,0.43570517758606625
27,8.133296839515214,3.1404579665977117,1109.0,26.52174638863401,-2.9885752657996667,11.649262064703635,0.0005034699809525815,-1.7400595077196666
28,8.133296839515214,3.6422662965053494,1214.0,25.319075293753055,-3.055939893666705,11.195960561561618,7.420605404917945e-05,-2.6226096807861654
29,8.133296839515214,4.144074626412988,1538.0,25.074070453023726,-3.1272032416097346,10.908705263279705,1.7600519682231616e-05,-3.2206685653294094
30,8.133296839515214,4.645882956320626,1434.0,25.01353414155117,-3.2011625282389535,10.6614105520552,3.701572617402218e-06,-3.7029487456272236
31,8.133296839515214,5.147691286228264,222.0,25.00246555740769,-3.2859027169239012,10.417477171040675,1.149753272624353e-06,-4.365357109370474
32,8.266592942275063,-2.3794336623863095,26.0,35.02503226353572,-2.947795421107152,12.785708288736098,0.057190524924797675,0.6502353569981588
33,8.266592942275063,-1.8776253324786711,51.0,38.32350420484356,-3.0162911846707443,12.563596436549947,0.07447293128192796,0.5428264752527624
34,8.266592942275063,-1.3758170025710328,194.0,42.228603254888476,-2.957976738212819,12.753629301454085,0.030442136510434727,0.4116151048679391
35,8.266592942275063,-0.8740086726633947,507.0,46.47393890621629,-2.926552002095131,12.705068113328876,0.028003310374860743,0.20884938594045485
36,8.266592942275063,-0.37220034275575653,2233.0,38.28326778864572,-3.0720012416617926,11.57317292837254,0.0151342647978535,-2.1121154945935734
37,8.266592942275063,0.12960798715188204,2851.0,45.726847652300165,-2.9756697974362707,12.028031990921052,0.02217250818984148,-0.9804617783469048
38,8.266592942275063,0.6314163170595202,8985.0,48.64498786777673,-2.9437985774333666,12.537831619025955,0.026794286430426546,0.17956649982189724
39,8.266592942275063,1.1332246469671583,5972.0,43.950430547799826,-3.0427618808680994,12.672747354566912,0.0354115653518327,0.38333961622839435
